a	에이
Lowpoint	로포인트
Lowry	로리
Lowry City	로리 시티
Lowrys	로리스
Lowville	로우빌
Loxahatchee Groves	록사해치그로브스
Loxley	록슬리
Loyal	로열
Loyalton	로얄턴
LPG	엘피지
Lu Verne	루 베른
Luana	루애나
Luanda	루안다
Lubbock	루복
Lubbock County	러벅 카운티
Lubec	루벡
Lubumbashi	루붐바시
Lucan	루칸
Lucas	루카스
Lucas County	루카스 카운티
Luce County	루스 카운티
Lucerne	루선
Lucerne Valley	루선 밸리
Lucia	루시아
Luck	럭
Luckenbach	루켄바흐
Lucknow	러크나우
Ludington	러딩턴
Ludlow	러들로
Luebbering	루버링
Lueders	루더스
Lufkin	러프킨
Lugano	루가노
Luis Lopez	루이즈 로페즈
Luke	루크
Lukeville	루크빌
Lula	룰라
Lulu	룰루
Lumberland	럼버랜드
Lumberton	럼버턴
Lumpkin	럼킨
Lumpkin County	럼킨 카운티
Luna County	루나 카운티
Lund	런드
Lunda	런다
Lunenburg	루넨버그
Lunenburg County	루넨부르크 카운티
Luraville	루라빌
Luray	루레이
Lusaka	루사카
Lusk	러스크
Lutcher	러처
lute	류트
lutetium	루테튬
Luther	루터
Lutterloh	루터로
Luttrell	러트렐
Lutts	러츠
Luverne	루번
Luxembourg	룩셈부르크
Luxemburg	룩셈부르크
Luxor	룩소르
Luzerne	루체른
Luzerne County	루체른 카운티
Lyburn	라이번
Lycan	라이캔
Lycoming County	라이커밍 카운티
lycos	라이코스
Lyells	라이엘
Lyle	라일
Lyman	리먼
Lyman County	리먼 카운티
Lyme	라임
lymph	림프
Lynch	린치
Lynchburg	린치버그
Lynco	린코
Lynd	린드
Lynden	린든
Lyndhurst	린드허스트
Lynn	린
Lynn Center	린 센터
Lynn County	린 카운티
Lynn Haven	린 헤이븐
Lynne	린
Lynnfield	린필드
Lynnwood	린우드
Lynwood	린우드
Lynx	링스
Lyon	라이언
Lyon County	라이언 카운티
Lyona	라이오나
Lyons	라이언스
Lyonsdale	리온스데일
Lysander	라이샌더
Lytle Creek	라이틀 크리크
Lyttelton	리틀턴
Lytten	라이튼
Lytton	리턴
m	엠
MA	엠에이
Mabel	메이블
Mabelle	마벨
Maben	메이븐
Mabry Mill	마브리 밀
macaroni	마카로니
MacArthur	맥아서
Macau	마카오
Macclenny	맥클레니
Macclesfield	메이클즈필드
MacDunn	맥던
Macedon	메이스던
Macedonia	마세도니아
Macfarlan	멕팔랜
Machias	마키어즈
machine	머신
Machine Learning	머신 러닝
Macintosh	매킨토시
Mack	맥
Mackay	매카이
Mackenzie	매켄지
Mackey	맥키
Mackinac County	매키낵 카운티
Mackinac Island	맥키노 아일랜드
Macks Inn	맥스 인
Macksville	맥스빌
Macomb	매콤
Macomb County	매콤 카운티
Macon	메이컨
Macon County	메이컨 카운티
Macoupin County	마쿠핀 카운티
macro	매크로
macro virus	매크로바이러스
Macy	메이시
mad	매드
Madagascar	마다가스카르
madam	마담
Madawaska	마다와스카
Maddock	매독
Maddox	매독스
made in korea	메이드인 코리아
Madeira	마데이라
Madeira Beach	머디라비치
Madelia	마델리아
Madeline	메이들린
Madera	마데라
Madera County	마데라 카운티
Madge	매지
Madison	매디슨
Madison County	매디슨 카운티
Madison Heights	매디슨 하이츠
Madison Parish	매디슨 패리시
Madisonville	매디슨빌
madonna	마돈나
Madras	마드라스
Madrid	마드리드
Madurai	마두라이
Mafia	마피아
Magan	메이건
magarine	마가린
magazine	매거진
Magazine	매거진
Magee	마지
Magellan Monument	마젤란 상륙 기념비
Maggie Valley	매기 밸리
magic	매직
Magic Brush	매직브러시
magicgate	매직게이트
magistre virus	매지스트르바이러스
Magley	매글리
magma	마그마
magnesite	마그네사이트
magnesium	마그네슘
Magness	매그네스
magnet	마그넷
Magnet	마그네트
magnetic	마그네틱
magnetic bubble device	자기버블소자
Magnitogorsk	마그니토고르스크
Magnolia	매그놀리아
Magnolia Beach	메그놀리아 비치
Magoffin County	마고핀 카운티
Mahan	머핸
Maharishi Vedic City	마하리시 베딕 시티
Mahaska County	마하스카 카운티
Mahe Island	마에 아일랜드
Maher	마허
Mahnomen County	마노먼 카운티
Mahomet	마호메트
Mahoning County	마호닝 카운티
Maida	메이다
Maiden	메이든
mail	메일
mail box	메일북
mail merge	메일머지
mailing list	메일링리스트
main	메인
main point	메인 포인트
main stadium	메인 스타디움
main stand	메인 스탠드
main title	메인 타이틀
mainboard	메인보드
Maine	메인
Maitland	메이틀랜드
Maize	메이즈
Major County	메이저 카운티
make	메이크
make up	메이크업
maker	메이커
Makinen	매키넌
Makoti	마코티
Malabar	말라바
Malabo	말라보
Malabon	말라본
Malaga	말라가
Malakoff	말라코프
MALANG	말랑
malaria	말라리아
MALATYA	말라티아
Malawi	말라위
Malaysia	말레이시아
Malbis	멜비스
Malcolm	말콤
Malcom	맬컴
Malden	몰든
Malheur County	맬히어 카운티
Mali	말리
Malibu	말리부
Malin	말린
mall	몰
Mallard	맬러드
Malmo	맬모
Malo	말로
Malone	말론
Maloy	맬로이
Malta	몰타
Malvern	맬번
Mamakating	매머케이팅
Mamaroneck	매머로넥
mambo	맘보
Mamers	매머스
Mamie	마미
mammoth	매머드
Mammoth	매머드
Mammoth Lakes	맴모스 레이크스
Mammoth Spring	매머드 스프링
man	맨
Man	맨
Man of La Mancha	맨 오브 라만차
man-machine system	맨머신시스템
Manada Gap	마나다 갭
manager	매니저
Managua	마나과
Manaia	마나이아
Manakin-Sabot	마나킨-사보
Manalapan	머낼러펀
Manara	마나라
Manassa	마내사
Manassas	매너서스
Manatee County	매너티 카운티
Manaus	마나우스
Manavista	매나비스타
Manawa	마나와
Manawatu - Wanganui	마너와투-왕거누이
Manchac	맨채크
Manchester	맨체스터
Manchester and Nashua	맨체스터 앤 내슈아
Manchester-by-the-Sea	맨체스터 바이 더 시
Mancos	만코스
Mandale	맨데일
Mandan	맨던
mandarin	만다린
Manderson	맨더슨
Mandeville	맨더빌
Mandurah	맨두라
Manes	메인즈
manganese	망가니즈
Mangilao	망길라오
Mangonia Park	망고니아 파크
mangoplate	망고플레이트
Manhattan	맨해튼
Manhattan Beach	맨해튼 비치
Manheim	맨하임
manhole	맨홀
mania	마니아
manicure	매니큐어
Manila	마닐라
Manilla	마닐라
Manistee	매니스티
Manistee County	매니스티 카운티
Manitoba	매니토바
Manitou	매니토
Manitou Springs	매니토우 스프링스
Manitowoc	매니토웍
Manitowoc County	매니토웍 카운티
Mankato	맨카토
Manley	맨리
Manlius	맨리어스
Manly	맨리
mannequin	마네킹
manner	매너
Manning	매닝
Mannings	매닝스
Mannington	매닝턴
Mannon	매넌
Mannville	맨빌
Mano	마노
Manokin	매너킨
Manor	매너
Mansfield	맨스필드
mansion	맨션
Manson	맨슨
manteau	망토
Manteca	만테카
Manteo	맨테오
Manter	맨터
Manti	맨티
Manton	맨턴
Mantorville	맨토빌
Mantua	만투아
manual	매뉴얼
Manukau	마누카우
Manvel	맨블
Manville	맨빌
Many	매니
Manzanita	만자니타
map	맵
Maple	메이플
Maple Bay	메이플 베이
Maple Beach	메이플 비치
Maple City	메이플 시티
Maple Creek	메이플 크리크
Maple Grove	메이플 그로브
Maple Heights	메이플 하이츠
Maple Hill	메이플 힐
Maple Plain	메이플 플레인
Maple Ridge	메이플 리지
Maple Springs	메이플 스프링스
Maple Valley	메이플 밸리
Maplehurst	메이플허스트
Maples	메이플스
Mapleton	메이플턴
Mapleview	메이플뷰
Mapleville	메이플빌
Maplewood	메이플우드
Mapua	마푸아
Maputo	마푸토
Maramec	매러맥
Marana	마라나
marathon	마라톤
Marathon	마라톤
Marathon County	마라톤 카운티
marble	마블
Marble	마블
Marble City	마블 시티
Marblehead	마블헤드
Marbletown	마블타운
Marbury	마버리
Marceline	마르셀린
Marcell	마르셀
Marcella	마르셀라
Marcelline	마르셀린
Marcellon	마셀론
Marcellus	마셀러스
march	마치
Marchand	마천드
Marco Island	마르코 아일랜드
Marcoe	마코
Marcus	마커스
Marcy	마시
Mardela Springs	마델라 스프링스
Mardell Manor	마덜 메노
Mardin	마르딘
Mareeba	마리바
Marengo	마렝고
Marengo County	마렝고 카운티
Marfa	마파
Margaret	마거릿
margarine	마가린
Margate	마게이트
Margate City	마게이트 시티
Margie	마지
margin	마진
Margo	마고
Maria Stein	마리아 스타인
Marianna	메리애나
Mariba	마리바
Maribel	마리벨
Maricopa	마리코파
Maricopa County	마리코파 카운티
Marienthal	마리엔살
Maries County	마리 카운티
Marietta	매리에타
marihuana	마리화나
Marilla	마릴라
Marin City	마린 시티
Marin County	마린 카운티
Marina	마리나
Marine City	마린 시티
Marine on St. Croix	마린 온 세인트 크록스
Marineland	마린랜드
Marinette	마리네트
Marinette County	마리네트 카운티
Marion	매리언
Marion County	매리언 카운티
Marionville	마리온빌
Mariposa	마리포사
Mariposa County	마리포사 카운티
Marisat System	매리샛시스템
mark	마크
Mark Center	마크 센터
mark reader printer	마크리더프린터
Mark West	마크 웨스트
Mark West Springs	마크 웨스트 스프링스
marker	마켓
Markesan	마크산
market	마켓
marketing	마케팅
Markham	마컴
Markle	마클
Markleeville	마크리빌
Marks	막스
Markwood	마크우드
Marland	마랜드
Marlboro	말버러
Marlboro County	말버러 카운티
Marlborough	말버러
Marler	말러
Marlette	말레트
Marlin	말린
Marlinton	말린턴
Marlow	말로우
Marlowe	말로
Marmaduke	마마듀크
Marmarth	매머스
Marmet	마멧
Marne	마른
Marquette	마켓
Marquette County	마켓 카운티
Marquez	마르케스
Marriott-Slaterville	매리어트-슬레터빌
Marrowbone	매로우본
Mars	마스
Mars Hill	마스 힐
Marseilles	마르세이
Marsh Harbour	마시하버
Marshall	마셜
Marshall County	마셜 카운티
Marshalltown	마셜타운
Marshfield	마시필드
Marsing	마싱
Marston	마스턴
mart	마트
Mart	마트
Martel	마텔
Martell	마텔
Martha	마사
Martin	마틴
Martin County	마틴 카운티
Martinborough	마틴버러
Martindale	마틴데일
Martinez	마르티네즈
Martins Ferry	마틴스 페리
Martinsburg	마틴스버그
Martinsville	마틴즈빌
Marton	마턴
Marvel	마블
Marvell	마벌
Marvin	마빈
Marvyn	마빈
Mary Esther	메리에스더
Maryborough	메리버러
Marye	메리
Maryhill Estates	매리힐 에스테이츠
Maryland	메릴랜드
Maryland Heights	메릴랜드 하이츠
Maryland Line	메릴랜드 라인
Marylhurst	메릴허스트
Marysville	메리스빌
Marytown	메리타운
Maryville	메리빌
mascara	마스카라
mascot	마스코트
Mascotte	매스코트
Mascoutah	마스쿠타
Maseru	마세루
Mashad	마샤드
Mashpee	매시피
Mashup	매시업
mask	마스크
Mason	메이슨
Mason City	메이슨시티
Mason County	메이슨 카운티
Masonville	메이슨빌
mass communication	매스컴
mass fashion	매스패션
Massac County	마삭 카운티
Massachusetts	매사추세츠
massaga	마사지
massage	마사지
Massage	마사지
Massaponax	매사포낵스
Massena	마세나
Massey	매시
Massillon	매실리언
mast	마스트
master	마스터
Master Boot Record	마스터 부트 레코드
Masterson	매스터슨
Masterton	매스터턴
masturbation	마스터베이션
mat	매트
Matagorda County	마타고르다 카운티
Matamata	마타마타
Matamoras	마타모라스
Matanuska-Susitna Borough	마타누스카-수시트나 버러
Matanzas	마탄사스
match	매치
matchmail	매치메일
Matfield Green	매트필드 그린
Mather	매더
Mathers Mill	마서스 밀
Matheson	매더슨
Mathews	매슈스
Mathews County	매슈스 카운티
Mathias	마티아스
Mathis	마티스
Matoaka	마토아카
matroos	마도로스
Matson	맷슨
Matsuyama	마쓰야마
Matt	매트
Mattapoisett	매타포이셋
Mattawa	마타와
Mattawamkeag	마타왐키그
Matteson	매트슨
Matthews	매튜스
Mattoon	마툰
Mattos	매토스
Mattox	매톡스
mattress	매트리스
Mattson	맷슨
Maud	모드
Maui Blue Mountain	마우이 블루마운틴
Maui County	마우이 카운티
Maui Mocha	마우이 모카
Mauk	모크
Mauldin	몰딘
Maumee	모미
Maumelle	마우멜
Maurepas	머레파스
Maurice	모리스
Mauritania	모리타니
Mauritius	모리셔스
Maury County	모리 카운티
Maverick County	매버릭 카운티
Max	맥스
Maxeys	맥시스
Maxfield	맥스필드
Maxie	맥시
Maximo	맥시모
Maxmovie	맥스무비
Maxton	맥스턴
Maxville	막스빌
Maxwell	맥스웰
May	메이플
Maya	마야
Maybell	메이벨
Mayberry	메이베리
Mayday	메이데이
Mayer	메이여
Mayes County	메이스 카운티
Mayfield	메이필드
Mayfield Heights	메이필드 하이츠
Mayflower	메이플라워
Mayger	메이거
Mayland	메일랜드
Maynard	메이나드
Mayo	마요
mayonnaise	마요네즈
Maypearl	메이펄
Mays	메이스
Mays Landing	메이즈 랜딩
Maysel	메이셀
Maysville	메이즈빌
Mayview	메이뷰
Mayville	메이빌
Maywood	메이우드
Maza	마자
Mazeppa	마제파
Mbone	엠본
MC	엠씨
McAdams	맥애덤스
McAlester	맥알레스터
McAlister	맥앨리스터
McAllen	맥컬린
McAlpin	매갈핀
McArthur	맥아서
McBain	맥베인
McCall	맥콜
McCalla	맥칼라
McCallsburg	매컬스버그
McCamey	맥캐미
McCarley	맥칼리
McCarr	맥카
McCaskill	맥카스킬
McCauley	매컬리
McCaysville	맥케이즈빌
McClain County	맥클레인 카운티
McClelland	맥크렐랜드
McClimansville	맥클리먼스빌
McClusky	맥클러스키
McColl	매콜
McComb	맥콤
McCone County	매콘 카운티
McConnell	매코널
McConnelsville	맥코넬스빌
McCook	맥쿡
McCook County	매쿡 카운티
McCool	맥쿨
McCordsville	맥코즈빌
McCormick	매코믹
McCormick County	매코믹 카운티
McCoy	맥코이
McCracken	매크레켄
McCracken County	매크라켄 카운티
McCrea	맥크리
McCreary County	매크리어리 카운티
McCullers Crossroads	맥컬러스 크로스로즈
McCulloch County	매컬럭 카운티
McCune	매큔
McCurtain County	매커튼 카운티
McDaniel	맥다니엘
McDavid	맥데이비드
McDonald	맥도널드
McDonald County	맥도널드 카운티
McDonalds Mill	맥도날드 밀
McDonough	맥도너
McDonough County	맥도너 카운티
McDougal	맥두걸
McDowell	맥도웰
McDowell County	맥도웰 카운티
McDuffie County	맥더피 카운티
McEwen	맥퀸
McFarlan	맥팔런
McFarland	맥팔랜드
McGee	맥기
McGrath	맥그래스
McGraws-Tipple	맥그로스-티플
McGrawsville	맥그로스빌
McGregor	맥그레거
McGregor Heights	맥그레고 하이츠
McHenry	맥헨리
McHenry County	맥헨리 카운티
McIntire	매킨타이어
McIntosh	매킨토시
McIntosh County	매킨토시 카운티
McIntyre	매킨타이어
McKean County	매킨 카운티
McKee	맥키
McKeesport	매키즈포트
McKenna	매케나
McKenney	맥케니
McKenzie	맥켄지
McKenzie County	맥켄지 카운티
McKenzie Junction	맥켄지 정션
McKinley	매킨리
McKinley County	맥킨리 카운티
McKinney	맥키니
McLain	맥레인
McLaughlin	맥로플린
McLaurin	맥로린
McLean	매클레인
McLean County	매클레인 카운티
McLeansboro	매클레인즈버러
McLennan County	맥레넌 카운티
McLeod	맥러드
McLeod County	맥러드 카운티
McLouth	맥루스
McMillan	맥밀런
McMinn County	맥민 카운티
McMinnville	맥민빌
McMullen County	맥멀렌 카운티
McNab	맥냅
McNairy County	맥네어리 카운티
McNaughton	매카너턴
McNeal	맥닐
McNeil	맥네일
McNeill	맥닐
McNulty	맥널티
McPherson	맥퍼슨
McPherson County	맥퍼슨 카운티
McQuire	맥과이어
McRae	맥레
McShan	맥셰인
McVey	맥베이
me	미
Meacham	미챔
Mead	미드
Mead Valley	미드 밸리
Meade	미드
Meade County	미드 카운티
Meador	미도르
Meadow	미도우
Meadow Brook	미도우 브룩
Meadowbrook	메도브룩
Meadowbrook Farm	메도우브룩 팜
Meadowlands	미도우랜즈
Meadows	미도우즈
Meadowview Estates	메도우뷰 에스테이츠
Meads	미즈
Meadview	미드뷰
Meagher County	마르 카운티
meal	밀
Meally	밀리
Means	민스
Meaux	모건 시티
Mebane	미베인
Mecan	메칸
mecca	메카
Mecca	메카
Mechanic Falls	메카닉 폴스
Mechanicsburg	메카닉스버그
Mechanicsville	메카닉스빌
Mechlenberg Heights	메클렌버그 하이츠
Mecklenburg County	메클렌부르크 카운티
Mecosta County	미코스타 카운티
medal	메달
medalist	메달리스트
Medan	메단
Medellin	메델린
Medfield	메드필드
Medford	메드퍼드
media	미디어
Media	미디어
Media Control Interface	미디어컨트롤인터페이스
Mediapolis	미디어폴리스
medicine	메디신
Medicine Bow	메디신 보
Medicine Hat	메디신햇
Medicine Lake	메디슨 레이크
Medicine Park	메디슨 파크
Medina	메디나
Medina County	메디나 카운티
medium	미디엄
medley	메들리
Medley	메들리
Medora	메도라
Medway	메드웨이
Meekatharra	메카타라
Meeker	미커
Meeker County	미커 카운티
Meeme	밈
Meenon	미넌
meerkat	미어캣
meeting	미팅
megaton	메가톤
Meigs	메이그스
Meigs County	메이그스 카운티
Mekoryuk	메코륙
melamine resins	멜라민수지
melanin	멜라닌
Melba	멜바
Melber	멜버
Melbern	멜번
Melbourne	멜버른
Melbourne Beach	멜번 비치
Melbourne Village	멜번 빌리지
Melcher-Dallas	멜처 댈러스
Melfa	멜파
Melina	멜리나
Melisa virus	멜리사바이러스
Melissa	멜리사
Mellen	멜런
Mellette County	멜레트 카운티
Mello	멜로
Mellott	멜롯
mellow	멜로우
melody	멜로디
melon	메론
Melrose	멜로즈
Melrose Park	멜로즈 파크
Melvern	멜버른
Melville	멜빌
Melvin	멜빈
Memambetsu	메만베츠
member	멤버
membership	멤보쉽
memo	메모
memory	메모리
Memory card	메모리카드
memory interleaving	메모리 인터리빙
memory stick	메모리스틱
Memphis	멤피스
Memphis Heights	멤피스 하이츠
Mena	메나
Menard	머나드
Menard County	메나드 카운티
Menasha	메나샤
Mendenhall	맨던홀
Mendenhall Springs	멘덴홀 스프링스
Mendocino County	멘도시노 카운티
Mendon	멘던
Mendota	멘도타
Mendota Heights	멘도타 하이츠
Menifee	메니피
Menifee County	메니피 카운티
Menlo	멘로
Menlo Park	멘로 파크
Menlo Park Terrace	멘로 파크 테라스
Meno	메노
Menominee	메노미니
Menominee County	메노미니 카운티
Menomonie	메노모니
Mentor	멘토
Mentor-on-the-Lake	멘토 온 더 레이크
menu	메뉴
Meppen	메펜
Mequon	메퀀
Merced	머시드
Merced County	머시드 카운티
Mercedes	메르세데스
Mercer	머서
Mercer County	머서 카운티
Mercer Island	머서 아일랜드
Mercey Hot Springs	머시 핫 스프링스
Mercury	머큐리
Mercuryville	머큐리빌
Meredith	메러디스
merge sort	머지소트
Merida	메리다
Meridean	메리딘
Meriden	메리던
Meridian	머리디언
Meridian Hills	메드리안 힐스
Merigold	머리골드
Merino	메리노
Merion	메리언
merit	메리트
Merit	메리트
Meriwether County	메리웨더 카운티
Merkel	메르켈
Merle	머를
Mermet	멀멋
Merna	머나
Merom	메롬
Merriam	메리엄
Merrick County	메릭 카운티
Merricourt	메리코트
Merrill	메릴
Merrillville	메릴빌
Merrimac	메리맥
Merrimack	메리맥
Merrimack County	메리맥 카운티
Merritt	메리트
Merritt Island	메릿아일랜드
Merton	머턴
mesa	메사
Mesa	메사
Mesa County	메사 카운티
meshiha	메시아
Mesilla	메실라
Mesquite	메스키트
message	메시지
messenger	메신저
Messick	메시크
Meta	메타
meta engine	메타엔진
metadata	메타데이터
Metairie	메타리
metal	메탈
Metaline	메탈린
Metcalfe	메트컬프
Metcalfe County	메트컬프 카운티
Metea	메티
Meteor	메테오
Methan	메탄
method	메소드
Methuen	메수엔
Methven	메스번
Metolius	메토리우스
Metomen	메토멘
metre	미터
metro	메트로
Metropolis	메트로폴리스
Metter	메터
Metz	메츠
Mexico	멕시코
Mexico City	멕시코 시티
Meyer	메이어
Meyers	메이어스
Miami	마이애미
Miami County	마이애미 카운티
Miami Gardens	마이애미 가든스
Miami Lakes	마이애미 레이크스
Miami Springs	마이애미 스프링스
Miami-Dade County	마이애미-데이드 카운티
Miamisburg	마이애미스버그
Miamitown	마이애미타운
Mica	미카
Micanopy	미카노피
Miccosukee	미코수키
Michael	마이클
Michiana Shores	미시아나 쇼어스
Michie	미치
Michigan	미시간
Michigan City	미시건 시티
Michigantown	미시간타운
Micky mouse	미키마우스
Mico	미코
micro	마이크로
Micro	마이크로
microblog	마이크로블로그
microchip	마이크로칩
microcomputer	마이크로컴퓨터
microdrive	마이크로드라이브
microgram	마이크로그램
microhm	미크롬
Micronesia	마이크로네시아
microprocessor	마이크로프로세서
microprogram	마이크로프로그램
microsoft	마이크로소프트
Microsoft Office	엠에스오피스
Microsoft Word	엠에스워드
microwave	마이크로 웨이브
middle	미들
Middle Brook	미들 브룩
Middleboro	미들버로
Middleborough	미들버러
Middlebourne	미들본
Middleburg	미들버그
Middleburg Heights	미들버그 하이츠
Middleburgh	미들버
Middlebury	미들베리
Middlebush	미들부쉬
Middlefield	미들필드
Middlegate	미들게이트
Middlesborough	미들스버러
Middlesex	미들섹스
Middlesex County	미들섹스 카운티
Middleton	미들턴
Middletown	미들타운
middleware	미들웨어
Middleway	미들웨이
Midland	미드랜드오데사
Midland City	미드랜드시티
Midland County	미들랜드 카운티
Midlothian	미들로디언
Midnight	미드나이트
Midpines	미드파인즈
Midtown	미드타운
Midvale	미드베일
Midville	미드빌
Midway	미드웨이
Midway City	미드웨이 시티
Midwest	미드웨스트
Midwest City	미드웨스트 시티
Miesville	미스빌
Mifflin	미플린
MIG	미그
might	마이트
migration	마이그레이션
mike	마이크
Milam	밀람
Milam County	밀람 카운티
Milan	밀란
Milano	밀라노
Milbank	밀뱅크
Milbridge	밀브리지
Milburn	밀번
Mildred	마일드레드
mile	마일
mileage service	마일리지서비스
Miles	마일스
Miles City	마일즈 시티
Milford	밀퍼드
miling machine	밀링 머신
milk	밀크
milk shake	밀크 세이크
Mill Creek	밀 크리크
Mill Point	밀 포인트
Mill Valley	밀 밸리
Millard County	밀러드 카운티
Millbrae	밀브레
Millbrook	밀브룩
Millbury	밀베리
Mille Lacs County	밀랙스 카운티
Millen	밀렌
Miller	밀러
Miller County	밀러 카운티
Millersburg	밀러스버그
Millersville	밀러스빌
Millerton	밀러턴
Millhome	밀홈
Millhousen	밀하우젠
Millican	밀리컨
Milligan	밀리건
milligram	밀리그램
Milliken	밀리컨
millimetre	미리미터
Millington	밀링턴
Millinocket	밀리노켓
million	밀리온
Millis	밀리스
Millport	밀포트
Millry	밀리
Mills	밀스
Mills County	밀스 카운티
Millsboro	밀스버로
Millston	밀스턴
Millstone	마일스톤
Milltown	밀타운
Millville	밀빌
Millwood	밀우드
Milner	밀너
Milnor	밀너
Milo	밀로
Milpitas	밀피타스
Milroy	밀로이
Milton	밀턴
Milton-Freewater	밀턴 프리워터
Milwaukee	밀워키
Milwaukee County	밀워키 카운티
Milwaukie	밀워키
Mina	미나
Minam	미남
minaret	미나레트
Minburn	민번
mince	민스
Minco	민코
mind	마인드
Minden	민덴
Mindenmines	마인든마인즈
Mindoro	민도로
Mineola	미네올라
Miner	마이너
Miner County	마이너 카운티
mineral	미네랄
Mineral	미네랄
Mineral County	미네랄 카운티
Mineral Point	미네랄 포인트
mineral water	미네랄 워터
Mineral Wells	미네랄 웰스
Minerva	미너바
Minetto	미네토
Mingo	밍고
Mingo County	밍고 카운티
Mingus	밍거스
mini	미니
minicomputer	미니컴퓨터
Minidoka County	미니도카 카운티
Minisink	미니싱크
mink	밍크
Mink Shoals	밍크 숄즈
Minneapolis	미니애폴리스
Minnehaha County	미네하하 카운티
Minneola	미네올라
Minneota	미네오타
Minnesota	미네소타
Minnesota City	미네소타 시티
Minnesota Lake	미네소타 레이크
Minnesott Beach	미네소트 비치
Minnetonka	미네톤카
Minnetonka Beach	미네톤카 비치
Minnetrista	미네트리스타
Minocqua	미노콰
Minong	미농
Minot	미놋
Minquadale	밍크데일
Minsk	민스크
Mint Hill	민트 힐
Minter	민터
Minter City	민터 시티
Minto	민토
Minturn	민턴
minus	마이너스
Mio	미오
Mirabel Heights	미라벨 하이츠
Mirabel Park	미라벨 파크
mirage	미라지
Miramar	미라마
Miranda	미란다
mirra	미이라
mirror	미러
mirror site	미러사이트
Misawa	미사야
miserable	미제라블
Mishawaka	미셔와카
miss	미스
Miss	미스
miss korea	미스 코리아
missa	미사
Missaukee County	미소키 카운티
missile	미사일
mission	미션
Mission	미션
Mission City	미션 시티
Mission Highlands	미션 하이랜즈
Mission Hill	미션 힐
Mission Hills	미션 힐스
Mission Valley	미션 밸리
Mission Viejo	미션비에이호
Mississauga	미시소거
Mississippi	미시시피
Mississippi County	미시시피 카운티
Missoula	미소울라
Missoula County	미줄라 카운티
Missouri	미주리
Missouri City	미주리 시티
Missouri Valley	미주리 밸리
mister	미스터
Mitchell	미첼
Mitchell County	미첼 카운티
mix	믹스
mixer	믹서
mixtape	믹스테이프
Miyako	미야코
Miyazaki	미야자키
Mize	마이즈
Mizpah	미즈파
ML	엠엘
Moab	모압
Moana	모아나
Moberly	모벌리
mobile	모바일
Mobile	모빌
mobile card	모바일카드
mobile care	모바일케어
Mobile City	모바일 시티
mobile computing	모빌컴퓨팅
Mobile County	모빌 카운티
mobile house	모바일하우스
Moccasin	모카신
Mockingbird Valley	목킹버드 밸리
Mocksville	목스빌
Modale	모데일
mode	모드
model	모델
model case	모델 케이스
model house	모델하우스
MODEM	모뎀
Modena	모데나
modern	모던
Modesto	머데스토
Modjeska Canyon	모제스카 캐년
Modoc	모독
Modoc County	모독 카운티
module	모듈
Moe	뫼
Moffat	모펫
Moffat County	모팻 카운티
Moffett	모페트
Moffit	모피트
MOGADISHU	모가디슈
Mohave County	모하비 카운티
Mohawk	모호크
Mohegan	모히건
Mohler	몰러
Moira	모이라
moisture	모이스처
Moland	몰랜드
Moldova	몰도바
Mole Lake	몰 레이크
Moline	멀린
Molitor	몰리터
Molt	몰트
Mombasa	몸바사
Momence	모멘스
moment	모멘트
Mona	모나
Mona lisa	모나리자
monami	모나미
Monaville	모나빌
Monches	몬체스
Monclova	몬클로바
Moncton	멍크턴
Mondamin	몬다민
Moneta	모네타
Monett	모네트
Monetta	모네타
Monette	모네트
money	머니
Money	머니
Mongolia	몽골
Moniac	모니악
Monico	모니코
Moniteau County	모니토 카운티
monitor	모니터
monkey wrench	멍키렌치
Monkeys Eyebrow	멍키스 아이브로우
Monkton	몽크턴
Monmouth	먼마우스
Monmouth County	먼마우스 카운티
mono	모노
Mono County	모노 카운티
Monon	모논
Monona	모노나
Monona County	모노나 카운티
Monongalia County	모넌갈리아 카운티
monorail	모노레일
Monroe	먼로
Monroe City	먼로 시티
Monroe County	먼로 카운티
Monroeville	먼로빌
Monrovia	몬로비아
Monson	몬슨
monster	몬스터
Mont Belvieu	몬트 벨뷰
montage	몽타주
Montague	몬터규
Montague County	몬태규 카운티
Montana	몬태나
Montara	몬타라
Montauk	몽톡
Montcalm County	몽칼름 카운티
Montclair	몽클레어
Monte Cristo	몬테 크리스토
Monte Sereno	몬테 세레노
Monte Verde	몬테 베르데
Monte Vista	몬테 비스타
Montebello	몬테벨로
Montego Bay	몬테고 베이
Montello	몬텔로
Monterey	몬터레이
Monterey County	몬터레이 카운티
Monterey Park	몬터레이파크
Monterrey	몬테레이
Monterville	몬터빌
Montesano	몬테사노
Montevallo	몬테발로
Montevideo	몬테비데오
Montezuma	몬테주마
Montezuma County	몬테주마 카운티
Montgomery	몽고메리
Montgomery City	몽고메리 시티
Montgomery County	몽고메리 카운티
Monti	몬티
Monticello	몬티첼로
Montmorenci	몽모렌치
Montmorency County	몽모랑시 카운티
Montour	몽투르
Montour County	몽투르 카운티
Montpelier	몬트필리어
Montra	몬트라
Montreal	몬트리올
Montreat	몬트리트
Montrose	몬트로즈
Montrose County	몬트로즈 카운티
Montross	몬트로스
Montura Ranch Estates	몬투라 랜치 에스테이츠
Montverde	몬트버디
Montville	몬트빌
Monument	모누먼트
mood	무드
Moodis	무디스
