gahnite	가나이트	kanaitʰɯ
curve	커브	kʰʌbɯ
cursor	커서	kʰʌsʌ
custard	커스터드	kʰʌsɯtʰʌdɯ
Curzon	커즌	kʰʌd͡ɕɯn
kersey	커지	kʰʌd͡ɕi
cachexy	커켁시	kʰʌkʰeks͈i
cutter	커터	kʰʌtʰʌ
cotunnite	커터나이트	kʰʌtʰʌnaitʰɯ
Cattell	커텔	kʰʌtʰel
cut	커트	kʰʌtʰɯ
curtain	커튼	kʰʌtʰɯn
cutlet	커틀릿	kʰʌtʰɯllit
catenary	커티너리	kʰʌtʰinʌli
Curtis	커티스	kʰʌtʰisɯ
capacitance	커패시턴스	kʰʌpʰɛsitʰʌns͈ɯ
Capote	커포티	kʰʌpʰotʰi
cuffs	커프스	kʰʌpʰɯsɯ
couple	커플	kʰʌpʰɯl
coupling	커플링	kʰʌpʰɯlliŋ
coffee	커피	kʰʌpʰi
coffeepot	커피포트	kʰʌpʰipʰotʰɯ
Kern	컨	kʰʌn
conductance	컨덕턴스	kʰʌndʌktʰʌns͈ɯ
condition	컨디션	kʰʌndisjʌn
converter	컨버터	kʰʌnbʌtʰʌ
convertible	컨버터블	kʰʌnbʌtʰʌbɯl
convert	컨버트	kʰʌnbʌtʰɯ
conveyor	컨베이어	kʰʌnbeiʌ
consultant	컨설턴트	kʰʌns͈ʌltʰʌntʰɯ
consortium	컨소시엄	kʰʌns͈osiʌm
consumerism	컨슈머리즘	kʰʌns͈jumʌlid͡ɕɯm
Constable	컨스터블	kʰʌns͈ɯtʰʌbɯl
container	컨테이너	kʰʌntʰeinʌ
control	컨트롤	kʰʌntʰɯlol
controller	컨트롤러	kʰʌntʰɯlollʌ
curl	컬	kʰʌl
color	컬러	kʰʌllʌ
colorist	컬러리스트	kʰʌllʌlisɯtʰɯ
colorful	컬러풀	kʰʌllʌpʰul
columbite	컬럼바이트	kʰʌllʌmbaitʰɯ
Columbia	컬럼비아	kʰʌllʌmbia
chalaza	컬레이저	kʰʌlleid͡ɕʌ
collection	컬렉션	kʰʌlleks͈jʌn
collector	컬렉터	kʰʌllektʰʌ
curling	컬링	kʰʌlliŋ
cultivator	컬티베이터	kʰʌltʰibeitʰʌ
comeback	컴백	kʰʌmbɛk
Cumberland	컴벌랜드	kʰʌmbʌllɛndɯ
Cumbria	컴브리아	kʰʌmbɯlia
compile	컴파일	kʰʌmpʰail
compiler	컴파일러	kʰʌmpʰaillʌ
compartment	컴파트먼트	kʰʌmpʰatʰɯmʌntʰɯ
compass	컴퍼스	kʰʌmpʰʌsɯ
compulsory	컴펄서리	kʰʌmpʰʌls͈ʌli
component	컴포넌트	kʰʌmpʰonʌntʰɯ
computer	컴퓨터	kʰʌmpʰjutʰʌ
computing	컴퓨팅	kʰʌmpʰjutʰiŋ
compressor	컴프레서	kʰʌmpʰɯlesʌ
comfrey	컴프리	kʰʌmpʰɯli
compliance	컴플라이언스	kʰʌmpʰɯllaiʌns͈ɯ
cup	컵	kʰʌp
cupcake	컵케이크	kʰʌpkʰeikʰɯ
cutback	컷백	kʰʌtp͈ɛk
cutoff	컷오프	kʰʌsopʰɯ
cutwork	컷워크	kʰʌswʌkʰɯ
kenaf	케나프	kʰenapʰɯ
Kenyatta	케냐타	kʰenjatʰa
Kennelly	케널리	kʰenʌlli
Quesnay	케네	kʰene
Kennedy	케네디	kʰenedi
kenotron	케노트론	kʰenotʰɯlon
ceratosaurus	케라토사우루스	kʰelatʰosaulusɯ
keratin	케라틴	kʰelatʰin
Ceres	케레스	kʰelesɯ
Kerenskii	케렌스키	kʰelens͈ɯkʰi
kerogen	케로겐	kʰelogen
Kerouac	케루악	kʰeluak
Kerschensteiner	케르셴슈타이너	kʰelɯsjens͈jutʰainʌ
kemanche	케만체	kʰemant͡ɕʰe
Chemostat	케모스타트	kʰemosɯtʰatʰɯ
chemical	케미컬	kʰemikʰʌl
cuesta	케스타	kʰesɯtʰa
Erich	에리히	elihi
Koestler	케스틀러	kʰesɯtʰɯllʌ
CARE	케어	kʰeʌ
Caird	케어드	kʰeʌdɯ
Carry	캐리	kʰɛli
Joyce	조이스	t͡ɕoisɯ
Carey	케리	kʰeli
Cheopis	케오피스	kʰeopʰisɯ
Kay	케이	kʰei
Key	케이	kʰei
KDP	케이디피	kʰeidipʰi
Cheiron	케이론	kʰeilon
cable	케이블	kʰeibɯl
cablegram	케이블그램	kʰeibɯlgɯlɛm
case	케이스	kʰeisɯ
casemate	케이스메이트	kʰeisɯmeitʰɯ
caseworker	케이스워커	kʰeisɯwʌkʰʌ
casework	케이스워크	kʰeisɯwʌkʰɯ
caisson	케이슨	kʰeisɯn
casing	케이싱	kʰeisiŋ
casinghead	케이싱헤드	kʰeisiŋhedɯ
KS	케이에스	kʰeiesɯ
KO	케이오	kʰeio
cage	케이지	kʰeid͡ɕi
KGB	케이지비	kʰeid͡ɕibi
KKK	케이케이케이	kʰeikʰeikʰei
cake	케이크	kʰeikʰɯ
cakewalk	케이크워크	kʰeikʰɯwʌkʰɯ
caking	케이킹	kʰeikʰiŋ
kapok	케이폭	kʰeipʰok
cape	케이프	kʰeipʰɯ
Cain	케인	kʰein
Keynes	케인스	kʰeins͈ɯ
kale	케일	kʰeil
Cayley	케일리	kʰeilli
Cambridge	케임브리지	kʰeimbɯlid͡ɕi
Cambridgeshire	케임브리지셔	kʰeimbɯlid͡ɕisjʌ
ketchup	케첩	kʰet͡ɕʰʌp
Kekkonen	케코넨	kʰekʰonen
Cecrops	케크롭스	kʰekʰɯlops͈ɯ
ketamine	케타민	kʰetʰamin
ketene	케텐	kʰetʰen
ketose	케토오스	kʰetʰoosɯ
ketoconazole	케토코나졸	kʰetʰokʰonad͡ɕol
ketohexose	케토헥소오스	kʰetʰoheks͈oosɯ
ketone	케톤	kʰetʰon
ketol	케톨	kʰetʰol
kettle	케틀	kʰetʰɯl
kettledrum	케틀드럼	kʰetʰɯldɯlʌm
Khepera	케페라	kʰepʰela
Cepheus	케페우스	kʰepʰeusɯ
Kepler	케플러	kʰepʰɯllʌ
Kendall	켄들	kʰendɯl
Centauros	켄타우로스	kʰentʰaulosɯ
Centaurus	켄타우루스	kʰentʰaulusɯ
Kentucky	켄터키	kʰentʰʌkʰi
Kenton	켄턴	kʰentʰʌn
Keller	켈러	kʰellʌ
Kellermann	켈러만	kʰellʌman
Bernard	버나드	pʌnadɯ
Kellogg	켈로그	kʰellogɯ
keloid	켈로이드	kʰelloidɯ
Kelly	켈리	kʰelli
khellin	켈린	kʰellin
Kelmet	켈밋	kʰelmit
kelvin	켈빈	kʰelbin
Celsus	켈수스	kʰels͈usɯ
Kelsen	켈젠	kʰeld͡ɕen
kelp	켈프	kʰelpʰɯ
Kemble	켐블	kʰembɯl
Kempff	켐프	kʰempʰɯ
Kempis	켐피스	kʰempʰisɯ
Kogan	코간	kʰogan
corgi	코기	kʰogi
kona	코나	kʰona
Konarak	코나라크	kʰonalakʰɯ
Conakry	코나크리	kʰonakʰɯli
corner	코너	kʰonʌ
cornering	코너링	kʰonʌliŋ
Conant	코넌트	kʰonʌntʰɯ
Connolly	코널리	kʰonʌlli
cornet	코넷	kʰonet
conodont	코노돈트	kʰonodontʰɯ
conoscope	코노스코프	kʰonosɯkʰopʰɯ
konimeter	코니미터	kʰonimitʰʌ
cornice	코니스	kʰonisɯ
conine	코닌	kʰonin
coder	코더	kʰodʌ
codeine	코데인	kʰodein
codex	코덱스	kʰodeks͈ɯ
cordovan	코도반	kʰodoban
codon	코돈	kʰodon
code	코드	kʰodɯ
cord	코드	kʰodɯ
chord	코드	kʰodɯ
coordination	코디	kʰodi
coordinator	코디네이터	kʰodineitʰʌ
coding	코딩	kʰodiŋ
Corazzini	코라치니	kʰolat͡ɕʰini
Korat	코라트	kʰolatʰɯ
Koran	코란	kʰolan
chorale	코랄	kʰolal
chorus	코러스	kʰolʌsɯ
Kore	코레	kʰole
choreographer	코레오그래퍼	kʰoleogɯlɛpʰʌ
Correggio	코레조	kʰoled͡ɕo
Correns	코렌스	kʰolens͈ɯ
Corelli	코렐리	kʰolelli
Corot	코로	kʰolo
corona	코로나	kʰolona
coronagraph	코로나그래프	kʰolonagɯlɛpʰɯ
coronizing	코로나이징	kʰolonaid͡ɕiŋ
Koror	코로르	kʰololɯ
Koruna	코루나	kʰoluna
Corneille	코르네유	kʰolɯneju
Cornelia	코르넬리아	kʰolɯnellia
Cornelius	코르넬리우스	kʰolɯnelliusɯ
Cordier	코르디에	kʰolɯdie
cordyline	코르딜리네	kʰolɯdilline
Trista	트리스탕	tʰɯlisɯtʰaŋ
Khorsabad	코르사바드	kʰolɯsabadɯ
corset	코르셋	kʰolɯset
cork	코르크	kʰolɯkʰɯ
corkscrew	코르크스크루	kʰolɯkʰɯsɯkʰɯlu
Cortes	코르테스	kʰolɯtʰesɯ
Cortot	코르토	kʰolɯtʰo
Cortona	코르토나	kʰolɯtʰona
cortisone	코르티손	kʰolɯtʰison
cortisol	코르티솔	kʰolɯtʰisol
corticosteroid	코르티코스테로이드	kʰolɯtʰikʰosɯtʰeloidɯ
corticosterone	코르티코스테론	kʰolɯtʰikʰosɯtʰelon
corticoid	코르티코이드	kʰolɯtʰikʰoidɯ
cortin	코르틴	kʰolɯtʰin
Corfu	코르푸	kʰolɯpʰu
corycium	코리슘	kʰolisjum
Coriolis	코리올리	kʰoliolli
Korinthos	코린토스	kʰolintʰosɯ
coma	코마	kʰoma
Comanche	커맨치	kʰʌmɛnt͡ɕʰi
comber	코머	kʰomʌ
Commons	커먼즈	kʰʌmʌnd͡ɕɯ
Commonwealth	커먼웰스	kʰʌmʌnwels͈ɯ
Comenius	코메니우스	kʰomeniusɯ
COMECON	코메콘	kʰomekʰon
Comex	코멕스	kʰomeks͈ɯ
comment	코멘트	kʰomentʰɯ
Comoros	코모로	kʰomolo
comedy	코미디	kʰomidi
comedian	코미디언	kʰomidiʌn
COMISCO	코미스코	kʰomisɯkʰo
comic	코믹	kʰomik
comics	코믹스	kʰomiks͈ɯ
Comintern	코민테른	kʰomintʰelɯn
COMINT	코민트	kʰomintʰɯ
Cominform	코민포름	kʰominpʰolɯm
combing	코밍	kʰomiŋ
cobalt	코발트	kʰobaltʰɯ
Coventry	코번트리	kʰobʌntʰɯli
COBOL	코볼	kʰobol
Cobb	코브	kʰobɯ
Cobden	코브던	kʰobɯdʌn
cobra	코브라	kʰobɯla
Cobbett	코빗	kʰobit
Cossa	코사	kʰosa
cosine	코사인	kʰosain
Cossack	코사크	kʰosakʰɯ
cosec	코세크	kʰosekʰɯ
Kossel	코셀	kʰosel
Kossuth	코슈트	kʰosjutʰɯ
course	코스	kʰosɯ
Cosmas	코스마스	kʰosɯmasɯ
cosmos	코스모스	kʰosɯmosɯ
cosmotron	코스모트론	kʰosɯmotʰɯlon
costume	코스튬	kʰosɯtʰjum
cost	코스트	kʰosɯtʰɯ
COSPAR	코스파	kʰosɯpʰa
Cauchy	코시	kʰosi
Kosygin	코시긴	kʰosigin
cosecant	코시컨트	kʰosikʰʌntʰɯ
coacervation	코아세르베이션	kʰoaselɯbeisjʌn
coacervate	코아세르베이트	kʰoaselɯbeitʰɯ
koala	코알라	kʰoalla
core	코어	kʰoʌ
Cohen	코엔	kʰoen
coentro	코엔트로	kʰoentʰɯlo
coyote	코요테	kʰojotʰe
coining	코이닝	kʰoiniŋ
coil	코일	kʰoil
coesite	코자이트	kʰod͡ɕaitʰɯ
cosmopolitanism	코즈모폴리터니즘	kʰod͡ɕɯmopʰollitʰʌnid͡ɕɯm
cosmopolitan	코즈모폴리턴	kʰod͡ɕɯmopʰollitʰʌn
Kotzebue	코체부	kʰot͡ɕʰebu
coach	코치	kʰot͡ɕʰi
cochineal	코치닐	kʰot͡ɕʰinil
cochin	코친	kʰot͡ɕʰin
coca	코카	kʰokʰa
cokeite	코카이트	kʰokʰaitʰɯ
cocaine	코카인	kʰokʰain
coconut	코코넛	kʰokʰonʌt
Kokoschka	코코슈카	kʰokʰosjukʰa
Oskar	오스카어	osɯkʰaʌ
cocoa	코코아	kʰokʰoa
cocolith	코콜리스	kʰokʰollisɯ
COCOM	코콤	kʰokʰom
Cork	코크	kʰokʰɯ
Cochrane	코크런	kʰokʰɯlʌn
cokes	코크스	kʰokʰɯsɯ
Coquelin	코클랭	kʰokʰɯllɛŋ
coquina	코키나	kʰokʰina
Coquimbo	코킴보	kʰokʰimbo
caulking	코킹	kʰokʰiŋ
cotangent	코탄젠트	kʰotʰand͡ɕentʰɯ
cotat	코태트	kʰotʰɛtʰɯ
cotter	코터	kʰotʰʌ
Cortex	코텍스	kʰotʰeks͈ɯ
Cotonou	코토누	kʰotʰonu
court	코트	kʰotʰɯ
coat	코트	kʰotʰɯ
Cotte	코트	kʰotʰɯ
cotton	코튼	kʰotʰɯn
Coty	코티	kʰotʰi
coating	코팅	kʰotʰiŋ
copperhead	코퍼헤드	kʰopʰʌhedɯ
copal	코펄	kʰopʰʌl
Copernicus	코페르니쿠스	kʰopʰelɯnikʰusɯ
Copeau	코포	kʰopʰo
copula	코퓰러	kʰopʰjullʌ
Kopp	코프	kʰopʰɯ
Cope	코프	kʰopʰɯ
copra	코프라	kʰopʰɯla
Kaufman	코프먼	kʰopʰɯmʌn
Koffka	코프카	kʰopʰɯkʰa
Kochanowski	코하노프스키	kʰohanopʰɯsɯkʰi
Cohan	코핸	kʰohɛn
Kocher	코허	kʰohʌ
cohort	코호트	kʰohotʰɯ
Koch	코크	kʰokʰɯ
coherer	코히러	kʰohilʌ
coherent	코히런트	kʰohilʌntʰɯ
cock	콕	kʰok
cox	콕스	kʰoks͈ɯ
coxswain	콕스웨인	kʰoks͈ɯwein
coccidium	콕시듐	kʰoks͈idjum
coaxing	콕싱	kʰoks͈iŋ
Cockcroft	콕크로프트	kʰokkʰɯlopʰɯtʰɯ
Cocteau	콕토	kʰoktʰo
cone	콘	kʰon
Cohn	콘	kʰon
condenser	콘덴서	kʰondens͈ʌ
condo	콘도	kʰondo
condominium	콘도미니엄	kʰondominiʌm
condom	콘돔	kʰondom
chondrite	콘드라이트	kʰondɯlaitʰɯ
Kondratiev	콘드라티예프	kʰondɯlatʰijepʰɯ
chondrodite	콘드로다이트	kʰondɯlodaitʰɯ
Chondromyces	콘드로마이세스	kʰondɯlomaisesɯ
chondriosome	콘드리오솜	kʰondɯliosom
Konrad	콘라트	kʰollatʰɯ
Conrad	콘래드	kʰollɛdɯ
convallatoxin	콘발라톡신	kʰonballatʰoks͈in
concise	콘사이스	kʰons͈aisɯ
concert	콘서트	kʰons͈ʌtʰɯ
concertmaster	콘서트마스터	kʰons͈ʌtʰɯmasɯtʰʌ
concertina	콘서티나	kʰons͈ʌtʰina
consonance	콘소넌스	kʰons͈onʌns͈ɯ
console	콘솔	kʰons͈ol
consul	콘술	kʰons͈ul
Khons	콘스	kʰons͈ɯ
cornstarch	콘스타치	kʰons͈ɯtʰat͡ɕʰi
constantan	콘스탄탄	kʰons͈ɯtʰantʰan
Constantinople	콘스탄티노플	kʰons͈ɯtʰantʰinopʰɯl
Constantius	콘스탄티우스	kʰons͈ɯtʰantʰiusɯ
constant	콘스턴트	kʰons͈ɯtʰʌntʰɯ
consequent	콘시퀀트	kʰons͈ikʰwʌntʰɯ
conalbumin	콘알부민	kʰonalbumin
Cornwall	콘월	kʰonwʌl
Cornwallis	콘월리스	kʰonwʌllisɯ
congeliturbate	콘젤리터베이트	kʰond͡ɕellitʰʌbeitʰɯ
conchocelis	콘코셀리스	kʰonkʰosellisɯ
conchoid	콘코이드	kʰonkʰoidɯ
concrete	콘크리트	kʰonkʰɯlitʰɯ
conchiolin	콘키올린	kʰonkʰiollin
contact	콘택트	kʰontʰɛktʰɯ
contest	콘테스트	kʰontʰesɯtʰɯ
contents	콘텐츠	kʰontʰent͡ɕʰɯ
contrabassoon	콘트라바순	kʰontʰɯlabasun
contrabass	콘트라베이스	kʰontʰɯlabeisɯ
contrast	콘트라스트	kʰontʰɯlasɯtʰɯ
Conti	콘티	kʰontʰi
continuity	콘티뉴이티	kʰontʰinjuitʰi
conference	콘퍼런스	kʰonpʰʌlʌns͈ɯ
Cawnpore	콘포르	kʰonpʰolɯ
cornflakes	콘플레이크	kʰonpʰɯlleikʰɯ
col	콜	kʰol
Cole	콜	kʰol
call	콜	kʰol
Calder	콜더	kʰoldʌ
Alexander	알렉산더	alleks͈andʌ
Caldwell	콜드웰	kʰoldɯwel
cola	콜라	kʰolla
collagen	콜라겐	kʰollagen
coalite	콜라이트	kʰollaitʰɯ
Kohler	콜러	kʰollʌ
Columbus	콜럼버스	kʰollʌmbʌsɯ
columbium	콜럼븀	kʰollʌmbjum
cholera	콜레라	kʰollela
cholesterol	콜레스테롤	kʰollesɯtʰelol
cholesteric	콜레스테릭	kʰollesɯtʰelik
coleus	콜레우스	kʰolleusɯ
cholecystokinin	콜레키스토키닌	kʰollekʰisɯtʰokʰinin
Colette	콜레트	kʰolletʰɯ
Collett	콜레트	kʰolletʰɯ
kolo	콜로	kʰollo
colonnade	콜로네이드	kʰolloneidɯ
colony	콜로니	kʰolloni
Colonia	콜로니아	kʰollonia
Collodi	콜로디	kʰollodi
collodion	콜로디온	kʰollodion
Colorado	콜로라도	kʰollolado
colobus	콜로부스	kʰollobusɯ
colloid	콜로이드	kʰolloidɯ
collotype	콜로타이프	kʰollotʰaipʰɯ
collophanite	콜로파나이트	kʰollopʰanaitʰɯ
colophonium	콜로포늄	kʰollopʰonjum
colon	콜론	kʰollon
colombo	콜롬보	kʰollombo
Colombia	콜롬비아	kʰollombia
colugo	콜루고	kʰollugo
collie	콜리	kʰolli
Coligny	콜리니	kʰollini
collimator	콜리메이터	kʰollimeitʰʌ
colistin	콜리스틴	kʰollisɯtʰin
colicin	콜리신	kʰollisin
Coleridge	콜리지	kʰollid͡ɕi
cauliflower	콜리플라워	kʰollipʰɯllawʌ
choline	콜린	kʰollin
Collins	콜린스	kʰollins͈ɯ
Colman	콜먼	kʰolmʌn
Kolmogorov	콜모고로프	kʰolmogolopʰɯ
Kolbe	콜베	kʰolbe
Colbert	콜베르	kʰolbelɯ
Kolbenheyer	콜벤하이어	kʰolbenhaiʌ
Kollwitz	콜비츠	kʰolbit͡ɕʰɯ
Koltsov	콜초프	kʰolt͡ɕʰopʰɯ
Colt	콜트	kʰoltʰɯ
Coltrane	콜트레인	kʰoltʰɯlein
colposcope	콜포스코프	kʰolpʰosɯkʰopʰɯ
Colchicine	콜히친	kʰolhit͡ɕʰin
comma	콤마	kʰomma
combine	콤바인	kʰombain
combination	콤비네이션	kʰombineisjʌn
COMTRAC	콤트랙	kʰomtʰɯlɛk
compact	콤팩트	kʰompʰɛktʰɯ
comparator	콤퍼레이터	kʰompʰʌleitʰʌ
Compton	콤프턴	kʰompʰɯtʰʌn
complex	콤플렉스	kʰompʰɯlleks͈ɯ
Congreve	콩그리브	kʰoŋgɯlibɯ
Condorcet	콩도르세	kʰoŋdolɯse
Condillac	콩디야크	kʰoŋdijakʰɯ
Concord	콩코드	kʰoŋkʰodɯ
Comte	콩트	kʰoŋtʰɯ
Khwarizmi	콰리즈미	kʰwalid͡ɕɯmi
Quasimodo	콰시모도	kʰwasimodo
choir	콰이어	kʰwaiʌ
cougar	쿠거	kʰugʌ
Kuhnau	쿠나우	kʰunau
Kudu	쿠두	kʰudu
curare	쿠라레	kʰulale
Courant	쿠랑	kʰulaŋ
Morice	모리스	molisɯ
Kuropatkin	쿠로팟킨	kʰulopʰatkʰin
kurume	쿠루메	kʰulume
Cournot	쿠르노	kʰulɯno
Courbet	쿠르베	kʰulɯbe
curcuma	쿠르쿠마	kʰulɯkʰuma
curcumine	쿠르쿠민	kʰulɯkʰumin
Courtois	쿠르투아	kʰulɯtʰua
Courteline	쿠르틀린	kʰulɯtʰɯllin
Curtius	쿠르티우스	kʰulɯtʰiusɯ
coumarone	쿠마론	kʰumalon
kumari	쿠마리	kʰumali
courmarin	쿠마린	kʰumalin
Kummer	쿠머	kʰumʌ
cumene	쿠멘	kʰumen
cumol	쿠몰	kʰumol
Cuba	쿠바	kʰuba
Coubertin	쿠베르탱	kʰubelɯtʰɛŋ
Pierre	피어	pʰiʌ
cubeba	쿠베바	kʰubeba
Khubilai	쿠빌라이	kʰubillai
cushion	쿠션	kʰusjʌn
kousso	쿠소	kʰuso
cuscus	쿠스쿠스	kʰusɯkʰusɯ
Cusanus	쿠자누스	kʰud͡ɕanusɯ
Cousin	쿠쟁	kʰud͡ɕɛŋ
Kuznetsov	쿠즈네초프	kʰud͡ɕɯnet͡ɕʰopʰɯ
Kuznitza	쿠즈니차	kʰud͡ɕɯnit͡ɕʰa
kukui	쿠쿠이	kʰukʰui
Kukryniksy	쿠크리닉시	kʰukʰɯliniks͈i
cookie	쿠키	kʰukʰi
Coutaud	쿠토	kʰutʰo
Cowper	쿠퍼	kʰupʰʌ
Cooper	쿠퍼	kʰupʰʌ
cupferron	쿠페론	kʰupʰelon
coupon	쿠폰	kʰupʰon
Khufu	쿠푸	kʰupʰu
Couperin	쿠프랭	kʰupʰɯlɛŋ
Kuprin	쿠프린	kʰupʰɯlin
Couplet	쿠플레	kʰupʰɯlle
Cook	쿡	kʰuk
Kun	쿤	kʰun
Kuhn	쿤	kʰun
Kundt	쿤트	kʰuntʰɯ
kulan	쿨란	kʰullan
Coulanges	쿨랑주	kʰullaŋd͡ɕu
coulometer	쿨로미터	kʰullomitʰʌ
coulomb	쿨롬	kʰullom
Coulomb	쿨롱	kʰulloŋ
Cooley	쿨리	kʰulli
coolie	쿨리	kʰulli
Coolidge	쿨리지	kʰullid͡ɕi
quad	쿼드	kʰwʌdɯ
quark	쿼크	kʰwʌkʰɯ
quota	쿼터	kʰwʌtʰʌ
quarterback	쿼터백	kʰwʌtʰʌbɛk
quart	쿼트	kʰwʌtʰɯ
Quonset	퀀셋	kʰwʌns͈et
Quebec	퀘벡	kʰwebek
quasar	퀘이사	kʰweisa
quinaldine	퀴날딘	kʰwinaldin
quinoid	퀴노이드	kʰwinoidɯ
quinone	퀴논	kʰwinon
quinoline	퀴놀린	kʰwinollin
Cugnot	퀴뇨	kʰwinjo
quinidine	퀴니딘	kʰwinidin
quinine	퀴닌	kʰwinin
Curel	퀴렐	kʰwilel
curium	퀴륨	kʰwiljum
Curie	퀴리	kʰwili
Quirinus	퀴리누스	kʰwilinusɯ
Cuvier	퀴비에	kʰwibie
quiz	퀴즈	kʰwid͡ɕɯ
quickstep	퀵스텝	kʰwiks͈ɯtʰep
Queen	퀸	kʰwin
Queensland	퀸즐랜드	kʰwind͡ɕɯllɛndɯ
quintet	퀸텟	kʰwintʰet
quintal	퀸틀	kʰwintʰɯl
quinhydrone	퀸히드론	kʰwinhidɯlon
quilting	퀼팅	kʰwiltʰiŋ
cue	큐	kʰju
QWL	큐더블유엘	kʰjudʌbɯljuel
curite	큐라이트	kʰjulaitʰɯ
cuvette	큐벳	kʰjubet
cubism	큐비즘	kʰjubid͡ɕɯm
cubit	큐빗	kʰjubit
cusec	큐섹	kʰjusek
QSTOL	큐스톨	kʰjusɯtʰol
QC	큐시	kʰjusi
QA	큐에이	kʰjuei
cuticula	큐티쿨라	kʰjutʰikʰulla
cuticle	큐티클	kʰjutʰikʰɯl
cutin	큐틴	kʰjutʰin
cupola	큐폴라	kʰjupʰolla
Cupid	큐피드	kʰjupʰidɯ
culex	큘렉스	kʰjulleks͈ɯ
Khnemu	크네무	kʰɯnemu
Queneau	크노	kʰɯno
Cnut	크누트	kʰɯnutʰɯ
Khnum	크눔	kʰɯnum
Knies	크니스	kʰɯnisɯ
Cranach	크라나흐	kʰɯlanahɯ
Lucas	루커스	lukʰʌsɯ
Crassus	크라수스	kʰɯlasusɯ
Kraus	크라우스	kʰɯlausɯ
Krauss	크라우스	kʰɯlausɯ
Krause	크라우제	kʰɯlaud͡ɕe
crown	크라운	kʰɯlaun
cridronograph	크라이드로노그래프	kʰɯlaidɯlonogɯlɛpʰɯ
Christchurch	크라이스트처치	kʰɯlaisɯtʰɯt͡ɕʰʌt͡ɕʰi
crisis	크라이시스	kʰɯlaisisɯ
cryotron	크라이오트론	kʰɯlaiotʰɯlon
Kraft	크라프트	kʰɯlapʰɯtʰɯ
Cravenette	크래버넷	kʰɯlɛbʌnet
Crabbe	크래브	kʰɯlɛbɯ
Crashaw	크래쇼	kʰɯlɛsjo
crash	크래시	kʰɯlɛsi
cracker	크래커	kʰɯlɛkʰʌ
cracking	크래킹	kʰɯlɛkʰiŋ
crack	크랙	kʰɯlɛk
crank	크랭크	kʰɯlɛŋkʰɯ
crankshaft	크랭크샤프트	kʰɯlɛŋkʰɯsjapʰɯtʰɯ
crusher	크러셔	kʰɯlʌsjʌ
crust	크러스트	kʰɯlʌsɯtʰɯ
crutch	크러치	kʰɯlʌt͡ɕʰi
Crompton	크럼프턴	kʰɯlʌmpʰɯtʰʌn
Credi	크레디	kʰɯledi
crevasse	크레바스	kʰɯlebasɯ
Krebs	크레브스	kʰɯlebɯsɯ
Cressent	크레상	kʰɯlesaŋ
creatinine	크레아티닌	kʰɯleatʰinin
creatine	크레아틴	kʰɯleatʰin
creosote	크레오소트	kʰɯleosotʰɯ
creosol	크레오솔	kʰɯleosol
Craig	크레이그	kʰɯleigɯ
crazing	크레이징	kʰɯleid͡ɕiŋ
crater	크레이터	kʰɯleitʰʌ
crepe	크레이프	kʰɯleipʰɯ
crane	크레인	kʰɯlein
Crane	크레인	kʰɯlein
cresol	크레졸	kʰɯled͡ɕol
Kretschmer	크레치머	kʰɯlet͡ɕʰimʌ
Kraepelin	크레펠린	kʰɯlepʰellin
Crelle	크렐레	kʰɯlelle
Kremlinology	크렘리놀로지	kʰɯlemninollod͡ɕi
Kremlin	크렘린	kʰɯlemnin
Krogh	크로그	kʰɯlogɯ
Cronaca	크로나카	kʰɯlonakʰa
chronaxie	크로낙시	kʰɯlonaks͈i
krone	크로네	kʰɯlone
Kronecker	크로네커	kʰɯlonekʰʌ
chronograph	크로노그래프	kʰɯlonogɯlɛpʰɯ
chronometry	크로노메트리	kʰɯlonometʰɯli
chronometer	크로노미터	kʰɯlonomitʰʌ
Cronos	크로노스	kʰɯlonosɯ
chronoscope	크로노스코프	kʰɯlonosɯkʰopʰɯ
Cronin	크로닌	kʰɯlonin
chromatograph	크로마토그래프	kʰɯlomatʰogɯlɛpʰɯ
chromatography	크로마토그래피	kʰɯlomatʰogɯlɛpʰi
chromatogram	크로마토그램	kʰɯlomatʰogɯlɛm
chromatron	크로마트론	kʰɯlomatʰɯlon
chromatin	크로마틴	kʰɯlomatʰin
chromatic	크로매틱	kʰɯlomɛtʰik
Cromer	크로머	kʰɯlomʌ
chromomycin	크로모마이신	kʰɯlomomaisin
Kroeber	크로버	kʰɯlobʌ
cross	크로스	kʰɯlosɯ
crossbar	크로스바	kʰɯlosɯba
crosshead	크로스헤드	kʰɯlosɯhedɯ
Croatia	크로아티아	kʰɯloatʰia
Kroisos	크로이소스	kʰɯloisosɯ
Kreutzer	크로이처	kʰɯloit͡ɕʰʌ
Crosby	크로즈비	kʰɯlod͡ɕɯbi
Croce	크로체	kʰɯlot͡ɕʰe
crocodile	크로커다일	kʰɯlokʰʌdail
crocus	크로커스	kʰɯlokʰʌsɯ
Crockett	크로킷	kʰɯlokʰit
Krokodil	크로코딜	kʰɯlokʰodil
croton	크로톤	kʰɯlotʰon
crawl	크롤	kʰɯlol
Crome	크롬	kʰɯlom
Crommelynck	크롬랭크	kʰɯlomnɛŋkʰɯ
Cromwell	크롬웰	kʰɯlomwel
Cruz	크루스	kʰɯlusɯ
cruiser	크루저	kʰɯlud͡ɕʌ
cruzeiro	크루제이루	kʰɯlud͡ɕeilu
cruise	크루즈	kʰɯlud͡ɕɯ
