a	ə
hetty	h ɛ t i
hetu	h i tʃ u
hetz	h ɛ t s
hetzel	h ɛ t z ə l
hetzer	h ɛ t z ɝ
hetzler	h ɛ t s l ɝ
heuberger	h ɔɪ b ɝ ɡ ɝ
heublein	h j u b l aɪ n
heuer	h j u ɝ
heuer's	h j u ɝ z
heuerman	h ɔɪ ɝ m ə n
heuermann	h ɔɪ ɝ m ə n
heuman	h j u m ə n
heumann	h j u m ə n
heun	h j u n
heupel	h ɔɪ p ə l
heuring	h ɝ ɪ ŋ
heuristic	h j ʊ ɹ ɪ s t ɪ k
heuristics	h j ʊ ɹ ɪ s t ɪ k s
heusen	h j u s ə n
heuser	h ɔɪ s ɝ
heusser	h j u s ɝ
hevener	h ɛ v i n ɝ
heverly	h ɛ v ɝ l i
hevey	h ɪ v eɪ
hevia	h eɪ v i ə
hevner	h ɛ v n ɝ
hew	h j u
heward	h j u ɝ d
hewe	h j u
hewell	h ɛ w ɛ l
hewer	h j u ɝ
hewes	h j u z
hewett	h j u ɪ t
hewey	h j u i
hewing	h j u ɪ ŋ
hewins	h j u ɪ n z
hewitt	h j u ɪ t
hewitt's	h j u ɪ t s
hewler	h j u l ɝ
hewler's	h j u l ɝ z
hewlett	h j u l ɪ t
hewn	h j u n
hews	h j u z
hewson	h j u s ə n
hex	h ɛ k s
hexachlorophene	h ɛ k s ə k l ɔ ɹ ə f i n
hexagon	h ɛ k s ə ɡ ɑ n
hexagonal	h ɛ k s æ ɡ ə n ə l
hexane	h ɛ k s eɪ n
hexcel	h ɛ k s ə l
hext	h ɛ k s t
hey	h eɪ
heyboer	h eɪ b oʊ ɝ
heyd	h eɪ d
heyday	h eɪ d eɪ
heyde	h eɪ d
heyden	h eɪ d ə n
heydon	h eɪ d ə n
heydt	h eɪ d t
heye	h aɪ
heyen	h aɪ n
heyer	h eɪ ɝ
heying	h eɪ ɪ ŋ
heyl	h eɪ l
heyman	h eɪ m ə n
heyman's	h eɪ m ə n z
heymann	h eɪ m ə n
heymann's	h eɪ m ə n z
heyn	h eɪ n
heyne	h eɪ n
heys	h eɪ z
heyse	h eɪ s
heyser	h eɪ z ɝ
heyward	h eɪ w ɝ d
heywood	h eɪ w ʊ d
hezbollah	h ɛ z b ɑ l ʌ
hezbollah's	h ɛ z b ɑ l ʌ z
hezbullah	h ɛ z b ɑ l ʌ
hezbullah's	h ɛ z b ɑ l ʌ z
hfdf	eɪ tʃ ɛ f d i ɛ f
hgh	eɪ tʃ dʒ i eɪ tʃ
hi	h aɪ
hiaa	eɪ tʃ aɪ eɪ eɪ
hiaasen	h aɪ ɑ s ɪ n
hialeah	h aɪ ə l i ə
hiam	h aɪ ə m
hiatt	h aɪ ə t
hiatt's	h aɪ ə t s
hiatus	h aɪ eɪ t ə s
hiawatha	h aɪ ə w ɑ θ ə
hibaaq	h aɪ b æ k
hibachi	h ə b ɑ tʃ i
hibbard	h ɪ b ɝ d
hibben	h ɪ b ə n
hibberd	h ɪ b ɝ d
hibbert	h ɪ b ɝ t
hibbett	h ɪ b ɪ t
hibbing	h ɪ b ɪ ŋ
hibbitts	h ɪ b ɪ t s
hibbler	h ɪ b l ɝ
hibbs	h ɪ b z
hibdon	h ɪ b d ə n
hibernate	h aɪ b ɝ n eɪ t
hibernation	h aɪ b ɝ n eɪ ʃ ə n
hibernia	h aɪ b ɝ n i ə
hibernia's	h aɪ b ɝ n i ə z
hibler	h ɪ b l ɝ
hibma	h ɪ b m ə
hibner	h ɪ b n ɝ
hibor	h aɪ b ɝ
hibshman	h ɪ b ʃ m ə n
hiccough	h ɪ k ə p
hiccoughs	h ɪ k ə p s
hiccup	h ɪ k ə p
hiccups	h ɪ k ə p s
hice	h aɪ s
hicfa	h ɪ k f ə
hichens	h ɪ k ə n z
hick	h ɪ k
hickam	h ɪ k ə m
hickcox	h ɪ k ɑ k s
hickel	h ɪ k ə l
hicken	h ɪ k ə n
hickerson	h ɪ k ɝ s ə n
hickey	h ɪ k i
hickle	h ɪ k ə l
hicklin	h ɪ k l ɪ n
hickling	h ɪ k l ɪ ŋ
hickman	h ɪ k m ə n
hickmon	h ɪ k m ə n
hickok	h ɪ k ə k
hickories	h ɪ k ɝ i z
hickory	h ɪ k ɝ i
hickox	h ɪ k ɑ k s
hicks	h ɪ k s
hickson	h ɪ k s ə n
hicksville	h ɪ k s v ɪ l
hid	h ɪ d
hidalgo	h ə d æ l ɡ oʊ
hidden	h ɪ d ə n
hide	h aɪ d
hideaki	h i d eɪ ɑ k i
hideaway	h aɪ d ə w eɪ
hidebound	h aɪ d b aʊ n d
hideo	h ɪ d eɪ oʊ
hideous	h ɪ d i ə s
hideously	h ɪ d i ə s l i
hideout	h aɪ d aʊ t
hideouts	h aɪ d aʊ t s
hider	h aɪ d ɝ
hides	h aɪ d z
hiding	h aɪ d ɪ ŋ
hidy	h aɪ d i
hieb	h i b
hieber	h i b ɝ
hiebert	h i b ɝ t
hiegel	h i ɡ ə l
hiems	h i m z
hiemstra	h i m s t ɹ ə
hier	h aɪ ɝ
hierarchical	h aɪ ɹ ɑ ɹ k ə k ə l
hierarchies	h aɪ ɹ ɑ ɹ k i z
hierarchy	h aɪ ɝ ɑ ɹ k i
hierholzer	h aɪ ɹ h oʊ l z ɝ
hieroglyph	h aɪ ɹ oʊ ɡ l ɪ f
hieroglyphic	h aɪ ɹ oʊ ɡ l ɪ f ɪ k
hieroglyphics	h aɪ ɹ oʊ ɡ l ɪ f ɪ k s
hieroglyphs	h aɪ ɹ oʊ ɡ l ɪ f s
hiers	h i ɹ z
hiestand	h i s t ə n d
hiester	h aɪ ɪ s t ɝ
hietala	h aɪ t ə l ə
hietpas	h aɪ t p ə z
hiett	h aɪ t
higa	h i ɡ ə
higashi	h i ɡ ɑ ʃ i
higbee	h ɪ ɡ b i
higbie	h ɪ ɡ b i
higby	h ɪ ɡ b i
higdon	h ɪ ɡ d ə n
higgason	h ɪ ɡ ə s ə n
higgenbotham	h ɪ ɡ ɪ n b ə θ ə m
higgens	h ɪ ɡ ə n z
higgerson	h ɪ ɡ ɝ s ə n
higginbotham	h ɪ ɡ ɪ n b ɑ θ ə m
higginbottom	h ɪ ɡ ɪ n b ɑ t ə m
higgins	h ɪ ɡ ɪ n z
higginson	h ɪ ɡ ɪ n s ə n
higgs	h ɪ ɡ z
high	h aɪ
higham	h aɪ ə m
highberger	h aɪ b ɝ ɡ ɝ
highboy	h aɪ b ɔɪ
highbrow	h aɪ b ɹ aʊ
highbrows	h aɪ b ɹ aʊ z
higher	h aɪ ɝ
highest	h aɪ ə s t
highfalutin	h aɪ f ə l u t ɪ n
highfield	h aɪ f i l d
highfill	h aɪ f ɪ l
highflier	h aɪ f l aɪ ɝ
highfliers	h aɪ f l aɪ ɝ z
highflying	h aɪ f l aɪ ɪ ŋ
highland	h aɪ l ə n d
highlander	h aɪ l æ n d ɝ
highlanders	h aɪ l æ n d ɝ z
highlands	h aɪ l ə n d z
highley	h aɪ l i
highlight	h aɪ l aɪ t
highlighted	h aɪ l aɪ t ɪ d
highlighting	h aɪ l aɪ t ɪ ŋ
highlights	h aɪ l aɪ t s
highly	h aɪ l i
highman	h aɪ m ə n
highness	h aɪ n ə s
highosin	h aɪ oʊ s ɪ n
highrise	h aɪ ɹ aɪ z
highrises	h aɪ ɹ aɪ z ɪ z
highs	h aɪ z
highschool	h aɪ s k u l
highschools	h aɪ s k u l z
highsmith	h aɪ s m ɪ θ
highspeed	h aɪ s p i d
hight	h aɪ t
hightech	h aɪ t ɛ k
hightower	h aɪ t aʊ ɝ
hightower's	h aɪ t aʊ ɝ z
highway	h aɪ w eɪ
highway's	h aɪ w eɪ z
highways	h aɪ w eɪ z
highyield	h aɪ j i l d
higinbotham	h ɪ ɡ ɪ n b ə θ ə m
higley	h ɪ ɡ l i
higman	h ɪ ɡ m ə n
hignight	h ɪ ɡ n aɪ t
hignite	h ɪ ɡ n aɪ t
higuchi	h i ɡ u tʃ i
higuera	h i ɡ ɛ ɹ ə
hijack	h aɪ dʒ æ k
hijacked	h aɪ dʒ æ k t
hijacker	h aɪ dʒ æ k ɝ
hijackers	h aɪ dʒ æ k ɝ z
hijacking	h aɪ dʒ æ k ɪ ŋ
hijackings	h aɪ dʒ æ k ɪ ŋ z
hijinks	h ɪ dʒ ɪ ŋ k s
hike	h aɪ k
hiked	h aɪ k t
hiker	h aɪ k ɝ
hikers	h aɪ k ɝ z
hikes	h aɪ k s
hiking	h aɪ k ɪ ŋ
hiland	h ɪ l ə n d
hilaria	h i l ɑ ɹ i ə
hilario	h i l ɑ ɹ i oʊ
hilarious	h ɪ l ɛ ɹ i ə s
hilariously	h ɪ l ɛ ɹ i ə s l i
hilarity	h ɪ l ɛ ɹ ə t i
hilary	h ɪ l ɝ i
hilb	h ɪ l b
hilberg	h ɪ l b ɝ ɡ
hilbert	h ɪ l b ɝ t
hilborn	h ɪ l b ɝ n
hilbun	h ɪ l b ə n
hilburn	h ɪ l b ɝ n
hild	h ɪ l d
hilda	h ɪ l d ə
hilde	h ɪ l d
hildebran	h ɪ l d ɪ b ɹ ə n
hildebrand	h ɪ l d ɪ b ɹ æ n d
hildebrandt	h ɪ l d ɪ b ɹ ə n t
hildebrant	h ɪ l d ɪ b ɹ ə n t
hildegard	h ɪ l d ə ɡ ɑ ɹ d
hildegarde	h ɪ l d ɪ ɡ ɑ ɹ d
hildegardes	h ɪ l d ə ɡ ɑ ɹ d z
hildemar	h ɪ l d ɪ m ɝ
hilden	h aɪ l d ə n
hildenbrand	h ɪ l d ɪ n b ɹ ə n d
hilder	h ɪ l d ɝ
hilderbrand	h ɪ l d ɝ b ɹ ə n d
hilderbrandt	h ɪ l d ɝ b ɹ ə n t
hildie	h aɪ l d i
hilditch	h ɪ l d ɪ tʃ
hildreth	h ɪ l d ɹ ɪ θ
hildum	h ɪ l d ə m
hildy	h ɪ l d i
hile	h aɪ l
hileman	h aɪ l m ə n
hilemon	h aɪ l m ə n
hilemon's	h aɪ l m ə n z
hiler	h aɪ l ɝ
hiles	h aɪ l z
hiley	h ɪ l i
hilfiger	h ɪ l f aɪ ɡ ɝ
hilfiker	h ɪ l f ɪ k ɝ
hilgart	h ɪ l ɡ ɑ ɹ t
hilgeman	h ɪ l ɡ m ə n
hilgenberg	h ɪ l ɡ ə n b ɝ ɡ
hilgendorf	h ɪ l ɡ ɪ n d ɔ ɹ f
hilger	h ɪ l ɡ ɝ
hilgers	h ɪ l ɡ ɝ z
hilgert	h ɪ l ɡ ɝ t
hilinski	h ɪ l ɪ n s k i
hilke	h ɪ l k ə
hilker	h ɪ l k ɝ
hill	h ɪ l
hill's	h ɪ l z
hilla	h ɪ l ə
hillard	h ɪ l ɝ d
hillard's	h ɪ l ɝ d z
hillary	h ɪ l ɝ i
hillary's	h ɪ l ɝ i z
hillas	h ɪ l ə s
hillbillies	h ɪ l b ɪ l i z
hillbilly	h ɪ l b ɪ l i
hillcrest	h ɪ l k ɹ ɛ s t
hille	h ɪ l
hilleary	h ɪ l ɝ i
hillebrand	h ɪ l ɪ b ɹ ə n d
hillegas	h ɪ l ɪ ɡ ə z
hillegass	h ɪ l ɪ ɡ ə s
hillel	h ɪ l ɛ l
hillen	h ɪ l ə n
hillenbrand	h ɪ l ə n b ɹ æ n d
hillenbrand's	h ɪ l ə n b ɹ æ n d z
hillenburg	h ɪ l ə n b ɝ ɡ
hiller	h ɪ l ɝ
hillerman	h ɪ l ɝ m ə n
hillery	h ɪ l ɝ i
hillesheim	h ɪ l ɪ s h aɪ m
hillestad	h ɪ l ɪ s t ə d
hilley	h ɪ l i
hillhaven	h ɪ l h eɪ v ə n
hillhaven's	h ɪ l h eɪ v ə n z
hillhouse	h ɪ l h aʊ s
hillian	h ɪ l j ə n
hillians	h ɪ l j ə n z
hilliard	h ɪ l j ɑ ɹ d
hillier	h ɪ l i ɝ
hilligoss	h ɪ l ɪ ɡ ɑ s
hilliker	h ɪ l aɪ k ɝ
hillin	h ɪ l ɪ n
hilling	h ɪ l ɪ ŋ
hillis	h ɪ l ɪ s
hillman	h ɪ l m æ n
hillmann	h ɪ l m ə n
hillmer	h ɪ l m ɝ
hillock	h ɪ l ə k
hills	h ɪ l z
hills'	h ɪ l z
hillsboro	h ɪ l z b ɝ oʊ
hillsborough	h ɪ l z b ɝ oʊ
hillsdale	h ɪ l z d eɪ l
hillsdown	h ɪ l z d aʊ n
hillside	h ɪ l s aɪ d
hillsides	h ɪ l s aɪ d z
hillsman	h ɪ l s m ə n
hillson	h ɪ l s ə n
hillstrom	h ɪ l s t ɹ ə m
hilltop	h ɪ l t ɑ p
hilltops	h ɪ l t ɑ p s
hilly	h ɪ l i
hillyard	h ɪ l j ɑ ɹ d
hillyer	h ɪ l i ɝ
hilma	h ɪ l m ə
hilmer	h ɪ l m ɝ
hilmes	h ɪ l m z
hilo	h i l oʊ
hilpert	h ɪ l p ɝ t
hilsabeck	h ɪ l s ə b ɛ k
hilscher	h ɪ l ʃ ɝ
hilsinger	h ɪ l s ɪ ŋ ɝ
hilsman	h ɪ l z m ə n
hilson	h ɪ l s ə n
hilt	h ɪ l t
hiltner	h ɪ l t n ɝ
hilton	h ɪ l t ə n
hilton's	h ɪ l t ə n z
hiltons	h ɪ l t ə n z
hilts	h ɪ l t s
hiltunen	h ɪ l t ə n ə n
hilty	h ɪ l t i
hiltz	h ɪ l t s
hilyard	h ə l j ɑ ɹ d
hilyer	h ɪ l i ɝ
him	h ɪ m
himalaya	h ɪ m ə l aɪ ə
himalayan	h ɪ m ə l eɪ ə n
himalayas	h ɪ m ə l aɪ ə s
hime	h aɪ m
himebaugh	h ɪ m ɪ b ɔ
himel	h ɪ m ə l
himes	h aɪ m z
himmel	h ɪ m ə l
himmelberger	h ɪ m ə l b ɝ ɡ ɝ
himmelfarb	h ɪ m ə l f ɑ ɹ b
himmelsbach	h ɪ m ɪ l s b ɑ k
himmelstein	h ɪ m ə l s t aɪ n
himmler	h ɪ m l ɝ
himont	h ɪ m ə n t
himself	h ɪ m s ɛ l f
hinch	h ɪ n tʃ
hinchcliff	h ɪ n tʃ k l ɪ f
hinchcliffe	h ɪ n tʃ k l ɪ f
hinchey	h ɪ n tʃ i
hinchliffe	h ɪ n k l ɪ f
hinchman	h ɪ ŋ k m ə n
hinck	h ɪ ŋ k
hinckley	h ɪ ŋ k l i
hind	h aɪ n d
hinde	h ɪ n d
hindelong	h ɪ n d ə l ɔ ŋ
hinder	h ɪ n d ɝ
hindered	h ɪ n d ɝ d
hinderer	h ɪ n d ɝ ɝ
hindering	h ɪ n d ɝ ɪ ŋ
hinderliter	h ɪ n d ɝ l i t ɝ
hinderman	h aɪ n d ɝ m ə n
hinders	h ɪ n d ɝ z
hindes	h ɪ n d z
hindi	h ɪ n d i
hindle	h ɪ n d ə l
hindley	h ɪ n d l i
hindman	h aɪ n d m ə n
hindquarter	h aɪ n d k w ɔ ɹ t ɝ
hindquarters	h aɪ n d k w ɔ ɹ t ɝ z
hindrance	h ɪ n d ɹ ə n s
hindrances	h ɪ n d ɹ ə n s ɪ z
hinds	h aɪ n d z
hindsight	h aɪ n d s aɪ t
hindsight's	h aɪ n d s aɪ t s
hindu	h ɪ n d u
hinduism	h ɪ n dʒ u ɪ z ə m
hindus	h ɪ n d u z
hindustan	h ɪ n d u s t æ n
hine	h aɪ n
hinebaugh	h ɪ n ɪ b ɔ
hineline	h ɪ n ɪ l aɪ n
hinely	h aɪ n l i
hineman	h aɪ n m ə n
hiner	h aɪ n ɝ
hinerman	h aɪ n ɝ m ə n
hines	h aɪ n z
hinesley	h ɪ n ɪ s l i
hiney	h ɪ n i
hing	h ɪ ŋ
hinge	h ɪ n dʒ
hinged	h ɪ n dʒ d
hinger	h ɪ n dʒ ɝ
hinges	h ɪ n dʒ ɪ z
hingham	h ɪ ŋ ə m
hingis	h ɪ ŋ ə s
hingle	h ɪ ŋ ɡ ə l
hingst	h ɪ ŋ s t
hingston	h ɪ ŋ s t ə n
hink	h ɪ ŋ k
hinkel	h ɪ ŋ k ə l
hinkelman	h ɪ ŋ k ə l m ə n
hinkle	h ɪ ŋ k ə l
hinkley	h ɪ ŋ k l i
hinkson	h ɪ ŋ k s ə n
hinman	h ɪ n m ə n
hinmen	h ɪ n m ɛ n
hinn	h ɪ n
hinnant	h ɪ n ə n t
hinnenkamp	h ɪ n ɪ n k æ m p
hinners	h ɪ n ɝ z
hinny	h ɪ n i
hino	h i n oʊ
hinojos	h i n oʊ j oʊ z
hinojosa	h i n oʊ dʒ oʊ s ə
hinote	h ɪ n oʊ t
hinrichs	h ɪ n ɹ ɪ k s
hinrichsen	h ɪ n ɹ ɪ k s ə n
hinsch	h ɪ n ʃ
hinsdale	h ɪ n s d eɪ l
hinshaw	h ɪ n ʃ ɔ
hinsley	h ɪ n s l i
hinson	h ɪ n s ə n
hint	h ɪ n t
hinted	h ɪ n t ə d
hinterland	h ɪ n t ɝ l æ n d
hinterlands	h ɪ n t ɝ l æ n d z
hinting	h ɪ n t ɪ ŋ
hinton	h ɪ n t ə n
hints	h ɪ n t s
hintz	h ɪ n t s
hintze	h ɪ n t z
hinz	h ɪ n z
hinzack	h ɪ n z æ k
hinze	h ɪ n z
hinzman	h ɪ n z m ə n
hiott	h aɪ ə t
hip	h ɪ p
hipbone	h ɪ p b oʊ n
hipbones	h ɪ p b oʊ n z
hipkins	h ɪ p k ɪ n z
hipolito	i p oʊ l i t oʊ
hipp	h ɪ p
hippe	h ɪ p
hippen	h ɪ p ə n
hippensteel	h ɪ p ɪ n s t i l
hipper	h ɪ p ɝ
hippert	h ɪ p ɝ t
hippest	h ɪ p ə s t
hippie	h ɪ p i
hippies	h ɪ p i z
hipple	h ɪ p ə l
hippler	h ɪ p l ɝ
hippo	h ɪ p oʊ
hippocampus	h ɪ p oʊ k æ m p ə s
hippocrates	h ɪ p ə k ɹ eɪ t s
hippocratic	h ɪ p ə k ɹ æ t ɪ k
hippodrome	h ɪ p ə d ɹ oʊ m
hippolytus	h ə p ɑ l ə t ə s
hippopotamus	h ɪ p ə p ɑ t ə m ə s
hippopotamuses	h ɪ p ə p ɑ t ə m ə s ɪ z
hippos	h ɪ p oʊ z
hipps	h ɪ p s
hips	h ɪ p s
hipsher	h ɪ p ʃ ɝ
hipskind	h ɪ p s k ɪ n d
hipster	h ɪ p s t ɝ
hipsters	h ɪ p s t ɝ z
hipwell	h ɪ p w ɛ l
hirabayashi	h ɪ ɹ ə b aɪ ɑ ʃ i
hiradin	h ɪ ɹ ɑ d ɪ n
hirai	h ɪ ɹ ɑ i
hiram	h aɪ ɹ ə m
hirano	h ɪ ɹ ɑ n oʊ
hirata	h ɪ ɹ ɑ t ə
hirayama	h ɪ ɹ ɑ j ɑ m ə
hird	h ɝ d
hire	h aɪ ɝ
hired	h aɪ ɝ d
hires	h aɪ ɝ z
hiriart	h ɪ ɹ i ɑ ɹ t
hiring	h aɪ ɹ ɪ ŋ
hirings	h aɪ ɹ ɪ ŋ z
hirn	h ɝ n
hiro	h ɪ ɹ oʊ
hiroaki	h ɪ ɹ oʊ ɑ k i
hirohito	h ɪ ɹ oʊ h i t oʊ
hirohito's	h ɪ ɹ oʊ h i t oʊ z
hiromasa	h ɪ ɹ oʊ m ɑ s ə
hirons	h aɪ ɹ ə n z
hirosakamoki	h ɪ ɹ ə s æ k ə m oʊ k i
hirosakima	h ɪ ɹ ə s ə k i m ə
hirose	h ɪ ɹ oʊ s eɪ
hiroshi	h ɪ ɹ oʊ ʃ i
hiroshima	h ɪ ɹ oʊ ʃ i m ə
hirota	h ɪ ɹ oʊ t ə
hiroyuki	h ɪ ɹ oʊ j u k i
hirsch	h ɝ ʃ
hirsch's	h ɝ ʃ ɪ z
hirschberg	h ɝ ʃ b ɝ ɡ
hirschfeld	h ɝ ʃ f ɛ l d
hirschfield	h ɝ s k f i l d
hirschhorn	h ɝ ʃ h ɝ n
hirschi	h ɪ ɹ s k i
hirschman	h ɝ ʃ m ə n
hirschmann	h ɝ ʃ m ə n
hirschy	h ɝ ʃ i
hirsh	h ɝ ʃ
hirshberg	h ɝ ʃ b ɝ ɡ
hirshfield	h ɝ ʃ f i l d
hirshhorn	h ɝ ʃ h ɔ ɹ n
hirshman	h ɝ ʃ m ə n
hirst	h ɝ s t
hirst's	h ɝ s t s
hirsute	h ɝ s u t
hirt	h ɝ t
hirth	h ɝ θ
hirtle	h ɝ t ə l
hirtz	h ɝ t s
hirulog	h ɪ ɹ u l ɑ ɡ
hirzel	h ɝ z ə l
his	h ɪ z
hisada	h ɪ s ɑ d ə
hisao	h ɪ s ɑ oʊ
hisaw	h aɪ s ɔ
hiscock	h ɪ s k ə k
hiscox	h ɪ s k ɑ k s
hise	h aɪ z
hisel	h ɪ s ə l
hiser	h aɪ z ɝ
hisey	h ɪ s i
hisham	h ɪ ʃ ə m
hisle	h aɪ ə l
hislop	h ɪ s l ə p
hispanic	h ɪ s p æ n ɪ k
hispanics	h ɪ s p æ n ɪ k s
hispaniola	h ɪ s p ɑ ŋ oʊ l ə
hispano	h ɪ s p ɑ n oʊ
hispanoil	h ɪ s p ə n ɔɪ l
hiss	h ɪ s
hiss's	h ɪ s ɪ z
hissed	h ɪ s t
hisself	h ɪ s ɛ l f
hisses	h ɪ s ɪ z
hissing	h ɪ s ɪ ŋ
hissong	h ɪ s ɔ ŋ
histadrut	h ɪ s t ə d ɹ ə t
histamine	h ɪ s t ə m i n
histidine	h ɪ s t ə d i n
histogram	h ɪ s t ə ɡ ɹ æ m
histograms	h ɪ s t ə ɡ ɹ æ m z
histology	h ɪ s t ɑ l ə dʒ i
historian	h ɪ s t ɔ ɹ i ə n
historians	h ɪ s t ɔ ɹ i ə n z
historic	h ɪ s t ɔ ɹ ɪ k
historical	h ɪ s t ɔ ɹ ɪ k ə l
historically	h ɪ s t ɔ ɹ ɪ k ə l i
histories	h ɪ s t ɝ i z
historiography	h ɪ s t ɔ ɹ i ɑ ɡ ɹ ə f i
history	h ɪ s t ɝ i
history's	h ɪ s t ɝ i z
histrionic	h ɪ s t ɹ i ɑ n ɪ k
histrionics	h ɪ s t ɹ i ɑ n ɪ k s
hit	h ɪ t
hitachi	h ɪ t ɑ tʃ i
hitch	h ɪ tʃ
hitchcock	h ɪ tʃ k ɑ k
hitchcock's	h ɪ tʃ k ɑ k s
hitched	h ɪ tʃ t
hitchens	h ɪ tʃ ə n z
hitches	h ɪ tʃ ɪ z
hitchhike	h ɪ tʃ h aɪ k
hitchhiked	h ɪ tʃ h aɪ k t
hitchhiker	h ɪ tʃ h aɪ k ɝ
hitchhikers	h ɪ tʃ h aɪ k ɝ z
hitchhikes	h ɪ tʃ h aɪ k s
hitchhiking	h ɪ tʃ h aɪ k ɪ ŋ
hitching	h ɪ tʃ ɪ ŋ
hitchings	h ɪ tʃ ɪ ŋ z
hitchins	h ɪ tʃ ɪ n z
hitchman	h ɪ tʃ m ə n
hitchner	h ɪ tʃ n ɝ
hite	h aɪ t
hites	h aɪ t s
hither	h ɪ ð ɝ
hitherto	h ɪ ð ɝ t u
hitler	h ɪ t l ɝ
hitler's	h ɪ t l ɝ z
hitman	h ɪ t m æ n
hitoshi	h ɪ t oʊ ʃ i
hits	h ɪ t s
hitschler	h ɪ t s l ɝ
hitsman	h ɪ t s m ə n
hitson	h ɪ t s ə n
hitt	h ɪ t
hitter	h ɪ t ɝ
hitter's	h ɪ t ɝ z
hitters	h ɪ t ɝ z
hitting	h ɪ t ɪ ŋ
hittite	h ɪ t aɪ t
hittle	h ɪ t ə l
hittner	h ɪ t n ɝ
hitty	h ɪ t i
hitz	h ɪ t s
hitzeman	h ɪ t s m ə n
hiv	eɪ tʃ aɪ v i
hive	h aɪ v
hively	h aɪ v l i
hives	h aɪ v z
hiway	h aɪ w eɪ
hix	h ɪ k s
hixenbaugh	h ɪ ɡ z ɛ n b ɔ
hixon	h ɪ k s ə n
hixson	h ɪ k s ə n
hizbollah	h ɪ z b oʊ l ə
hizer	h aɪ z ɝ
hjelm	h j ɛ l m
hjerpe	h j ɝ p
hjort	h ə j ɔ ɹ t
hlad	h l æ d
hladik	h l æ d ɪ k
hladky	h l æ d k i
hlavac	h l ɑ v ə k
hlavacek	h l ɑ v ə tʃ ɛ k
hlavaty	h l ə v ɑ t i
hm	h m
hmm	h m
hmmm	h m
hmong	m ɔ ŋ
hnat	h n æ t
ho	h oʊ
ho's	h oʊ z
hoadley	h oʊ d l i
hoag	h oʊ ɡ
hoagie	h oʊ ɡ i
hoagland	h oʊ ɡ l ə n d
hoaglin	h oʊ ɡ l ɪ n
hoaglund	h oʊ ɡ l ə n d
hoagy	h oʊ ɡ i
hoak	h oʊ k
hoang	h oʊ ŋ
hoar	h ɔ ɹ
hoard	h ɔ ɹ d
hoarded	h ɔ ɹ d ɪ d
hoarding	h ɔ ɹ d ɪ ŋ
hoards	h ɔ ɹ d z
hoare	h ɔ ɹ
hoarse	h ɔ ɹ s
hoarseness	h ɔ ɹ s n ə s
hoary	h ɔ ɹ i
hoax	h oʊ k s
hoaxes	h oʊ k s ɪ z
hob	h ɑ b
hoback	h oʊ b æ k
hoban	h oʊ b ə n
hobart	h oʊ b ɑ ɹ t
hobaugh	h ɑ b ɔ
hobbes	h ɑ b i z
hobbie	h ɑ b i
hobbies	h ɑ b i z
hobbing	h ɑ b ɪ ŋ
hobbins	h ɑ b ɪ n z
hobbit	h ɑ b ɪ t
hobbits	h ɔ b ɪ t s
hobble	h ɑ b ə l
hobbled	h ɑ b ə l d
hobbles	h ɑ b ə l z
hobbling	h ɑ b ə l ɪ ŋ
hobbs	h ɑ b z
hobby	h ɑ b i
hobbyist	h ɑ b i ɪ s t
hobbyists	h ɑ b i ɪ s t s
hobday	h ɑ b d eɪ
hobdy	h ɑ b d i
hoben	h ɑ b ə n
hoberg	h oʊ b ɝ ɡ
hoberman	h oʊ b ɝ m ə n
hobert	h ɑ b ɝ t
hobgood	h ɑ b ɡ ʊ d
hobin	h oʊ b ɪ n
hoblit	h ɑ b l ɪ t
hobnail	h ɑ b n eɪ l
hobnob	h ɑ b n ɑ b
hobnobbing	h ɑ b n ɑ b ɪ ŋ
hobo	h oʊ b oʊ
hoboes	h oʊ b oʊ z
hoboken	h oʊ b oʊ k ə n
hobs	h ɑ b z
hobsbawm	h ɑ b s b ɔ m
hobson	h ɑ b s ə n
hobson's	h ɑ b s ə n z
hoc	h ɑ k
hocevar	h oʊ s eɪ v ɑ ɹ
hoch	h ɑ k
hochberg	h ɑ k b ɝ ɡ
hochbrueckner	h ɑ k b ɹ ʌ k n ɝ
hochenheim	h ɔ k ə n h aɪ m
hochhalter	h ɑ k h ə l t ɝ
hochhauser	h ɑ k h aʊ z ɝ
hochman	h ɑ k m ə n
hochmuth	h ɑ k m u θ
hochstatter	h ɑ k s t ə t ɝ
hochstedler	h ɑ k s t ɪ d ə l ɝ
hochstein	h ɑ k s t aɪ n
hochstetler	h ɑ k s t ɪ t ə l ɝ
hochtief	h ɑ k t i f
hock	h ɑ k
hockaday	h ɑ k ə d eɪ
hockberg	h ɑ k b ɝ ɡ
hockenberry	h ɑ k ə n b ɛ ɹ i
hockenbury	h ɑ k ə n b ɛ ɹ i
hockensmith	h ɑ k ə n s m ɪ θ
hocker	h ɑ k ɝ
hockersmith	h ɑ k ɝ s m ɪ θ
hockett	h ɑ k ɪ t
hockey	h ɑ k i
hockey's	h ɑ k i z
hockin	h ɑ k ɪ n
hocking	h ɑ k ɪ ŋ
hockley	h ɑ k l i
hockman	h ɑ k m ə n
hockney	h ɑ k n i
hockney's	h ɑ k n i z
hoctor	h ɑ k t ɝ
hocus	h oʊ k ə s
hocutt	h ɑ k ə t
hodak	h oʊ d ə k
hodapp	h ɑ d ə p
hodde	h ɑ d
