a	에이	ei
Holdrege	홀드리지	holdɯlid͡ɕi
Holladay	홀러데이	hollʌdei
Holland	홀랜드	hollɛndɯ
Holliday	홀리데이	hollidei
Hollidaysburg	홀리데이스버그	hollideisɯbʌgɯ
Hollindale	홀린데일	hollint͈eil
Hollis	홀리스	hollisɯ
Hollister	홀리스터	hollisɯtʰʌ
Holliston	홀리스턴	hollisɯtʰʌn
Holloway	할로웨이	hallowei
Holly	홀리	holli
Hollydale	홀리데일	hollideil
Hollywood	할리우드	halliudɯ
Holman	홀먼	holmʌn
holmium	홀뮴	holmjum
Holstein	홀스타인	hols͈ɯtʰain
Holt	홀트	holtʰɯ
Holton	홀턴	holtʰʌn
Holtville	홀트빌	holtʰɯbil
Holyoke	홀리오크	holliokʰɯ
Holyrood	홀리우드	holliudɯ
home	홈	hom
Home	홈	hom
HomeKit	홈킷	homkʰit
Homeland	홈랜드	homnɛndɯ
homepage	홈페이지	hompʰeid͡ɕi
Homer	호머	homʌ
Homestead	홈스테드	homs͈ɯtʰedɯ
Homestown	홈스타운	homs͈ɯtʰaun
Hometown	홈타운	homtʰaun
Homewood	홈우드	homudɯ
Hominy	호미니	homini
homo	호모	homo
Homonarrans	호모나랜스	homonalɛns͈ɯ
Honaker	호나커	honakʰʌ
Honduras	온두라스	ondulasɯ
Honeydew	허니듀	hʌnidju
honeymoon	허니문	hʌnimun
Honeyville	허니빌	hʌnibil
Honolulu	호놀룰루	honollullu
Hoodville	후드빌	hudɯbil
Hookersville	후커스빌	hukʰʌsɯbil
Hooks	훅스	huks͈ɯ
Hooksett	후크세트	hukʰɯsetʰɯ
Hoolehua	몰로카이	mollokʰai
Hoonah	후나	huna
Hoopa	후파	hupʰa
Hooper	후퍼	hupʰʌ
Hoople	후플	hupʰɯl
Hoosick	후식	husik
Hoover	후버	hubʌ
Hope	호프	hopʰɯ
Hopedale	호프데일	hopʰɯdeil
Hopelawn	호프론	hopʰɯlon
Hopeville	호프빌	hopʰɯbil
Hopewell	호프웰	hopʰɯwel
Hopkins	홉킨스	hopkʰins͈ɯ
Hopkinsville	홉킨스빌	hopkʰins͈ɯbil
Hopkinton	홉킨턴	hopkʰintʰʌn
Hopland	홉랜드	homnɛndɯ
Hopper	호퍼	hopʰʌ
Hoquiam	호퀴엄	hokʰwiʌm
Horace	호러스	holʌsɯ
Horatio	호레이쇼	holeisjo
Horca	호카	hokʰa
Horicon	호리콘	holikʰon
Hornby	혼비	honbi
Hornell	호넬	honel
Horner	호너	honʌ
Hornet	호네트	honetʰɯ
Hornitos	호니토스	honitʰosɯ
Hornsby	혼스비	hons͈ɯbi
Horseshoe	호스슈	hosɯsju
Horstville	호스트빌	hosɯtʰɯbil
Hortense	호텐스	hotʰens͈ɯ
Horton	호턴	hotʰʌn
hose	호스	hosɯ
Hosford	호스포드	hosɯpʰodɯ
Hoskins	호스킨스	hosɯkʰins͈ɯ
Hospers	호스퍼스	hosɯpʰʌsɯ
hostess	호스티스	hosɯtʰisɯ
hot	핫	hat
Hotchkiss	호치키스	hot͡ɕʰikʰisɯ
hotel	호텔	hotʰel
Hottentot	호텐토트	hotʰentʰotʰɯ
Hough	호	ho
Houghton	호튼	hotʰɯn
Houlton	훌턴	hultʰʌn
Houma	후마	huma
Hounsfield	하운즈필드	haund͡ɕɯpʰildɯ
hour	아워	awʌ
house	하우스	hausɯ
Houston	휴스턴	hjusɯtʰʌn
Houstonville	휴스톤빌	hjusɯtʰonbil
Hoven	호번	hobʌn
Hovland	호블랜드	hobɯllɛndɯ
how	하우	hau
How	하우	hau
Howard	하워드	hawʌdɯ
Howardville	하워드빌	hawʌdɯbil
Howe	하우	hau
Howell	하월	hawʌl
Howells	하웰즈	haweld͡ɕɯ
Howesville	하우스빌	hausɯbil
Howland	하울랜드	haullɛndɯ
Hoxie	혹시	hoks͈i
Hoy	호이	hoi
Hoyt	호이트	hoitʰɯ
Hualien	화련	hwaljʌn
hub	허브	hʌbɯ
Hub	허브	hʌbɯ
Hubbard	허버드	hʌbʌdɯ
Huber	후버	hubʌ
Hubertus	허버터스	hʌbʌtʰʌsɯ
Hubly	허블리	hʌbɯlli
Hudson	허드슨	hʌdɯsɯn
Hudsonville	허드슨빌	hʌdɯsɯnbil
Huff	허프	hʌpʰɯ
Huffman	허프먼	hʌpʰɯmʌn
Huger	휴거	hjugʌ
Hughes	휴스	hjusɯ
Hughson	휴슨	hjusɯn
Hugo	휴고	hjugo
Hugoton	휴고턴	hjugotʰʌn
Hulbert	헐버트	hʌlbʌtʰɯ
Hull	헐	hʌl
human	휴먼	hjumʌn
Humansville	휴먼스빌	hjumʌns͈ɯbil
Humble	험블	hʌmbɯl
Humboldt	훔볼트	humboltʰɯ
Hume	흄	hjum
humor	유머	jumʌ
humour	유머	jumʌ
Humphrey	험프리	hʌmpʰɯli
Hundred	헌드레드	hʌndɯledɯ
Hungary	헝가리	hʌŋgali
hungry	헝그리	hʌŋgɯli
Hunter	헌터	hʌntʰʌ
Hunters	헌터스	hʌntʰʌsɯ
Huntersville	헌터스빌	hʌntʰʌsɯbil
Huntingburg	헌팅버그	hʌntʰiŋbʌgɯ
Huntingdon	헌팅던	hʌntʰiŋdʌn
Huntington	헌팅턴	hʌntʰiŋtʰʌn
Huntleigh	헌틀리	hʌntʰɯlli
Huntley	헌틀리	hʌntʰɯlli
Huntly	헌틀리	hʌntʰɯlli
Huntsville	헌츠빌	hʌnt͡ɕʰɯbil
Huot	휴오트	hjuotʰɯ
Hurdland	허들랜드	hʌdɯllɛndɯ
hurdle	허들	hʌdɯl
Hurley	헐리	hʌlli
Hurlock	헐록	hʌllok
Huron	휴런	hjulʌn
hurricane	허리케인	hʌlikʰein
Hurricane	허리케인	hʌlikʰein
Hurst	허스트	hʌsɯtʰɯ
Hurt	허트	hʌtʰɯ
Hustisford	허스티스퍼드	hʌsɯtʰisɯpʰʌdɯ
Hustle	허슬	hʌsɯl
Hustonville	허스턴빌	hʌsɯtʰʌnbil
Hutchins	허친스	hʌt͡ɕʰins͈ɯ
Hutchinson	허친슨	hʌt͡ɕʰins͈ɯn
Hutto	휴토	hjutʰo
Hutton	허턴	hʌtʰʌn
Huxley	헉슬리	hʌks͈ɯlli
Huzzah	허자	hʌd͡ɕa
Hyannis	한니스	hannisɯ
Hyattstown	하야츠타운	hajat͡ɕʰɯtʰaun
Hyattsville	하이어츠빌	haiʌt͡ɕʰɯbil
Hybrid	하이브리드	haibɯlidɯ
Hyden	하이든	haidɯn
Hydes	하이데스	haidesɯ
Hydro	하이드로	haidɯlo
Hye	하이	hai
hyena	하이에나	haiena
Hygiene	하이진	haid͡ɕin
Hymera	히메라	himela
hyoung	형	hjʌŋ
hypergraphic	하이퍼그래픽	haipʰʌgɯlɛpʰik
Hyperlapse	하이퍼랩스	haipʰʌlɛps͈ɯ
hypertext	하이퍼텍스트	haipʰʌtʰeks͈ɯtʰɯ
Hypoluxo	히포룩소	hipʰoluks͈o
Hysham	하이샴	haisjam
Hytop	하이탑	haitʰap
Hyundai	현대	hjʌndɛ
i	아이	ai
Iaeger	아이애거	aiɛgʌ
Iamonia	아이오모니아	aiomonia
IASI	이아시	iasi
Iberia	이베리아	ibelia
Ibiza	이비자	ibid͡ɕa
ice	아이스	aisɯ
icebox	아이스박스	aisɯbaks͈ɯ
Iceland	아이슬란드	aisɯllandɯ
iCHAT	아이채트	ait͡ɕʰɛtʰɯ
iCloud	아이클라우드	aikʰɯllaudɯ
icon	아이콘	aikʰon
Icon	아이콘	aikʰon
ID	아이디	aidi
Ida	아이다	aida
Idaho	아이다호	aidaho
Idalia	이달리아	idallia
Idaville	아이다빌	aidabil
idea	아이디어	aidiʌ
Ideologie	이데올로기	ideollogi
Ider	아이더	aidʌ
Idlewild	아이들와일드	aidɯlwaildɯ
Idlewood	아이들우드	aidɯludɯ
igloo	이글루	igɯllu
Ignacio	이그나시오	igɯnasio
ignorance	이그너런스	igɯnʌlʌns͈ɯ
Igo	이고	igo
Ihlen	일렌	illen
Ike	아이크	aikʰɯ
Ila	일라	illa
Ilam	아일럼	aillʌm
Iliff	일리프	illipʰɯ
Illinois	일리노이	illinoi
illustrator	일러스트레이터	illʌsɯtʰɯleitʰʌ
Illustrator	일러스트레이터	illʌsɯtʰɯleitʰʌ
Ilwaco	일와코	ilwakʰo
iMac	아이맥	aimɛk
image	이미지	imid͡ɕi
Imbler	임블러	imbɯllʌ
IMF	아이엠에프	aiemepʰɯ
Immanuel	임마뉴엘	immanjuel
Imogene	이모진	imod͡ɕin
impact	임팩트	impʰɛktʰɯ
Impact	임팩트	impʰɛktʰɯ
Imperial	임페리얼	impʰeliʌl
import	임포트	impʰotʰɯ
important	임포턴트	impʰotʰʌntʰɯ
impossible	임파서블	impʰasʌbɯl
impression	임프레션	impʰɯlesjʌn
in	인	in
Inca	잉카	iŋkʰa
inch	인치	int͡ɕʰi
include	인클루드	inkʰɯlludɯ
incubator	인큐베이터	inkʰjubeitʰʌ
Independence	인디펜던스	indipʰendʌns͈ɯ
index	인덱스	indeks͈ɯ
Index	인덱스	indeks͈ɯ
Indialantic	인디앨란틱	indiɛllantʰik
Indian	인디언	indiʌn
Indiana	인디애나	indiɛna
Indianapolis	인디애나폴리스	indiɛnapʰollisɯ
Indianola	인디애놀라	indiɛnolla
Indiantown	인디언타운	indiʌntʰaun
Indio	인디오	indio
indivisual	인디비주얼	indibid͡ɕuʌl
Indonesia	인도네시아	indonesia
indoor	인도어	indoʌ
Indore	인도르	indolɯ
Indus	인더스	indʌsɯ
Industry	인더스트리	indʌsɯtʰɯli
Inez	아이네즈	ained͡ɕɯ
inflation	인플레이션	inpʰɯlleisjʌn
influenza	인플루엔자	inpʰɯlluend͡ɕa
Infographics	인포그래픽	inpʰogɯlɛpʰik
infonesia	인포네시아	inpʰonesia
information	인포메이션	inpʰomeisjʌn
INFORTERA	인포테라	inpʰotʰela
Infoseek	인포시크	inpʰosikʰɯ
infra	인프라	inpʰɯla
infranet	인프라넷	inpʰɯlanet
Ingalls	잉갈스	iŋgals͈ɯ
Inger	잉거	iŋgʌ
Ingersoll	잉거솔	iŋgʌsol
Ingham	잉엄	iŋʌm
Ingle	잉글	iŋgɯl
Inglenook	잉글누크	iŋgɯllukʰɯ
Ingleside	잉글사이드	iŋgɯls͈aidɯ
Inglewood	잉글우드	iŋgɯludɯ
Inglis	잉글리스	iŋgɯllisɯ
Ingomar	잉고마	iŋgoma
Ingram	잉그램	iŋgɯlɛm
ink	잉크	iŋkʰɯ
Ink	잉크	iŋkʰɯ
Inkerman	잉커만	iŋkʰʌman
Inkom	인콤	inkʰom
Inkster	잉크스터	iŋkʰɯsɯtʰʌ
Inland	인랜드	illɛndɯ
Inlet	인렛	illet
Inman	인먼	inmʌn
Innis	이니스	inisɯ
InnoCentive	이노센티브	inosentʰibɯ
Ino	이노	ino
Inola	이놀라	inolla
insider	인사이더	ins͈aidʌ
instagram	인스타그램	ins͈ɯtʰagɯlɛm
Instagram	인스타그램	ins͈ɯtʰagɯlɛm
install	인스톨	ins͈ɯtʰol
instant	인스턴트	ins͈ɯtʰʌntʰɯ
Institute	인스티튜트	ins͈ɯtʰitʰjutʰɯ
Instructor	인스트럭터	ins͈ɯtʰɯlʌktʰʌ
insulin	인슐린	ins͈jullin
Intelsat	인텔샛	intʰels͈ɛt
intensive	인텐시브	intʰens͈ibɯ
interactive	인터랙티브	intʰʌlɛktʰibɯ
intercast	인터캐스트	intʰʌkʰɛsɯtʰɯ
interchange	인터체인지	intʰʌt͡ɕʰeind͡ɕi
interface	인터페이스	intʰʌpʰeisɯ
interior	인테리어	intʰeliʌ
Interior	인테리어	intʰeliʌ
Interlachen	인터라켄	intʰʌlakʰen
interleave	인터리브	intʰʌlibɯ
intern	인턴	intʰʌn
international	인터내셔널	intʰʌnɛsjʌnʌl
internet	인터넷	intʰʌnet
Internet	인터넷	intʰʌnet
internetwork	인터넷워크	intʰʌneswʌkʰɯ
interphone	인터폰	intʰʌpʰon
interrupt	인터럽트	intʰʌlʌptʰɯ
interview	인터뷰	intʰʌbju
into	인투	intʰu
intranet	인트라넷	intʰɯlanet
introduction	인트로덕션	intʰɯlodʌks͈jʌn
Inuvik	이누빅	inubik
Invercargill	인버카길	inbʌkʰagil
Inverness	인버네스	inbʌnesɯ
investment	인베스트먼트	inbesɯtʰɯmʌntʰɯ
Inwood	인우드	inudɯ
iodine	아이오딘	aiodin
Iola	아이올라	aiolla
Iolee	아이올리	aiolli
ion	이온	ion
Iona	아이오나	aiona
Ione	아이온	aion
Ionia	아이오니아	aionia
Iota	아이오타	aiotʰa
Iowa	아이오와	aiowa
iPad	아이패드	aipʰɛdɯ
iphone	아이폰	aipʰon
iPhone	아이폰	aipʰon
iPod	아이팟	aipʰat
Ipswich	입스위치	ips͈ɯwit͡ɕʰi
IQ	아이큐	aikʰju
Ira	이라	ila
Iraan	아이란	ailan
Iran	이란	ilan
Iraq	이라크	ilakʰɯ
Ireland	아일랜드	aillɛndɯ
Irene	아이린	ailin
iridium	이리듐	ilidjum
iris	아이리스	ailisɯ
Irma	얼머	ʌlmʌ
Irmo	아이모	aimo
iron	아이언	aiʌn
Irondale	아이언데일	aiʌndeil
Irondequoit	아이언데큇	aiʌndekʰwit
ironical	아이러니컬	ailʌnikʰʌl
Ironsides	아이언사이즈	aiʌns͈aid͡ɕɯ
Ironton	아이언턴	aiʌntʰʌn
Ironville	아이언빌	aiʌnbil
Ironwood	아이언우드	aiʌnudɯ
irony	아이러니	ailʌni
Iroquois	이로쿼이스	ilokʰwʌisɯ
Irvine	어바인	ʌbain
Irving	어빙	ʌbiŋ
Irvington	어빙턴	ʌbiŋtʰʌn
Irwin	어윈	ʌwin
Irwindale	어윈데일	ʌwindeil
Isabel	이자벨	id͡ɕabel
Isabella	이사벨라	isabella
Isabelle	이사벨	isabel
Isanti	이샌티	isɛntʰi
Ischua	이슈아	isjua
Isfahan	이스파한	isɯpʰahan
Ishigaki	이시가키	isigakʰi
Isla	이슬라	isɯlla
Islam	이슬람	isɯllam
Islamabad	이슬라마바드	isɯllamabadɯ
island	아일랜드	aillɛndɯ
Island	아일랜드	aillɛndɯ
Islandia	아일랜디아	aillɛnt͈ia
Islands	아일랜드	aillɛndɯ
Isleton	아이슬레톤	aisɯlletʰon
Islip	아이슬립	aisɯllip
Ismay	이즈메이	id͡ɕɯmei
Isola	아이솔라	aisolla
Isom	이솜	isom
ISPARTA	이스파르타	isɯpʰalɯtʰa
Israel	이스라엘	isɯlael
Issaquah	이사콰	isakʰwa
issue	이슈	isju
Issue	이슈	isju
Istanbul	이스탄불	isɯtʰanbul
Italia	이탈리아	itʰallia
Italy	이탤리	itʰɛlli
Itasca	이타스카	itʰasɯkʰa
item	아이템	aitʰem
iteration	이터레이션	itʰʌleisjʌn
Ithaca	이타카	itʰakʰa
itunes	아이튠즈	aitʰjund͡ɕɯ
iTunes	아이튠즈	aitʰjund͡ɕɯ
Iva	아이바	aiba
Ivalo	이발로	iballo
Ivan	이반	iban
Iverson	아이버슨	aibʌsɯn
Ivey	아이비	aibi
Ivor	아이버	aibʌ
ivory	아이보리	aiboli
Ivydale	아이비데일	aibideil
Iwami	이와미	iwami
IXL	아이엑스엘	aieks͈ɯel
Ixonia	익소니아	iks͈onia
Iympha	임파	impʰa
Izmir	이즈밀	id͡ɕɯmil
Izumo	이즈모	id͡ɕɯmo
j	제이	t͡ɕei
ja	야	ja
Jacinto	재신토	t͡ɕɛsintʰo
jack	재크	t͡ɕɛkʰɯ
Jack	잭	t͡ɕɛk
jackknife	재크나이프	t͡ɕɛkʰɯnaipʰɯ
Jackman	잭맨	t͡ɕɛŋmɛn
Jackson	잭슨	t͡ɕɛks͈ɯn
Jacksontown	잭슨타운	t͡ɕɛks͈ɯntʰaun
Jacksonville	잭슨빌	t͡ɕɛks͈ɯnbil
Jacobs	제이콥스	t͡ɕeikʰops͈ɯ
Jacobsburg	제이콥스버그	t͡ɕeikʰops͈ɯbʌgɯ
Jacobson	제이콥슨	t͡ɕeikʰops͈ɯn
Jacobsville	제이콥스빌	t͡ɕeikʰops͈ɯbil
Jacoby	제이코비	t͡ɕeikʰobi
Jacques	자크	t͡ɕakʰɯ
Jacumba	하쿰바	hakʰumba
Jaffrey	재프리	t͡ɕɛpʰɯli
jaguar	재규어	t͡ɕɛgjuʌ
Jaipur	자이푸르	t͡ɕaipʰulɯ
Jakarta	자카르타	t͡ɕakʰalɯtʰa
Jakin	재킨	t͡ɕɛkʰin
Jal	잘	t͡ɕal
jam	잼	t͡ɕɛm
Jamaica	자메이카	t͡ɕameikʰa
Jambi	잠비	t͡ɕambi
jamboree	잼버리	t͡ɕɛmbʌli
James	제임스	t͡ɕeims͈ɯ
Jamesburg	제임스버그	t͡ɕeims͈ɯbʌgɯ
Jamesport	제임스포트	t͡ɕeims͈ɯpʰotʰɯ
Jamestown	제임스타운	t͡ɕeims͈ɯtʰaun
Jamesville	제임스빌	t͡ɕeims͈ɯbil
Janesville	제인스빌	t͡ɕeins͈ɯbil
Jansen	젠슨	t͡ɕens͈ɯn
Janus	야누스	janusɯ
jarro	조로	t͡ɕolo
Jarrott	제로트	t͡ɕelotʰɯ
Jasonville	제이슨빌	t͡ɕeisɯnbil
Jasper	재스퍼	t͡ɕɛsɯpʰʌ
Java	자바	t͡ɕaba
Jay	제이	t͡ɕei
Jaysville	제이스빌	t͡ɕeisɯbil
jazz	재즈	t͡ɕɛd͡ɕɯ
Jean	진	t͡ɕin
Jeannette	지넷	t͡ɕinet
Jed	제드	t͡ɕedɯ
Jeddah	제다	t͡ɕeda
jeep	지프	t͡ɕipʰɯ
Jeff	제프	t͡ɕepʰɯ
Jeffers	제퍼스	t͡ɕepʰʌsɯ
Jefferson	제퍼슨	t͡ɕepʰʌsɯn
Jeffersontown	제퍼슨타운	t͡ɕepʰʌsɯntʰaun
Jeffersonville	제퍼슨빌	t͡ɕepʰʌsɯnbil
Jeffrey	제프리	t͡ɕepʰɯli
jeju	제주	t͡ɕed͡ɕu
Jellico	젤리코	t͡ɕellikʰo
jelly	젤리	t͡ɕelli
Jemison	제미선	t͡ɕemisʌn
Jena	제나	t͡ɕena
jenga	젠가	t͡ɕenga
Jenison	제니슨	t͡ɕenisɯn
Jenkins	젠킨스	t͡ɕenkʰins͈ɯ
Jenks	젠크스	t͡ɕenkʰɯsɯ
Jenner	제너	t͡ɕenʌ
Jenners	제너스	t͡ɕenʌsɯ
Jennette	제네트	t͡ɕenetʰɯ
Jennings	제닝스	t͡ɕeniŋs͈ɯ
Jensen	젠슨	t͡ɕens͈ɯn
jeon	전	t͡ɕʌn
Jere	제레	t͡ɕele
Jericho	제리코	t͡ɕelikʰo
Jermyn	저민	t͡ɕʌmin
Jerome	제롬	t͡ɕelom
Jerry	제리	t͡ɕeli
Jersey	저지	t͡ɕʌd͡ɕi
Jerseydale	저지데일	t͡ɕʌd͡ɕideil
Jerseyville	저지빌	t͡ɕʌd͡ɕibil
Jerusalem	제루살렘	t͡ɕelusallem
Jesse	제시	t͡ɕesi
jester	제스터	t͡ɕesɯtʰʌ
Jesup	제섭	t͡ɕesʌp
Jett	제트	t͡ɕetʰɯ
jew	쥬	t͡ɕju
Jewell	쥬얼	t͡ɕjuʌl
Jewett	주잇	t͡ɕuit
jinair	진에어	t͡ɕineʌ
Jinjiang	진지앙	t͡ɕind͡ɕiaŋ
jinx	징크스	t͡ɕiŋkʰɯsɯ
Joaquin	조아퀸	t͡ɕoakʰwin
job	잡	t͡ɕap
Job	잡	t͡ɕap
jockey	자키	t͡ɕakʰi
Jodie	조디	t͡ɕodi
Joensuu	요엔수	joens͈u
Joes	조스	t͡ɕosɯ
jogging	조깅	t͡ɕogiŋ
Johannesburg	요하네스버그	johanesɯbʌgɯ
Johnnycake	조니케이크	t͡ɕonikʰeikʰɯ
Johns	존스	t͡ɕons͈ɯ
Johnsburg	존스버그	t͡ɕons͈ɯbʌgɯ
Johnson	존슨	t͡ɕons͈ɯn
Johnsontown	존슨타운	t͡ɕons͈ɯntʰaun
Johnsonville	존슨빌	t͡ɕons͈ɯnbil
Johnston	존스턴	t͡ɕons͈ɯtʰʌn
Johnstonville	존스톤빌	t͡ɕons͈ɯtʰonbil
Johnstown	존스타운	t͡ɕons͈ɯtʰaun
Joice	조이스	t͡ɕoisɯ
Joiner	조이너	t͡ɕoinʌ
joke	조크	t͡ɕokʰɯ
joker	조커	t͡ɕokʰʌ
Joliet	졸리엣	t͡ɕolliet
Joliette	졸리엣	t͡ɕolliet
Jolley	졸리	t͡ɕolli
Jolly	졸리	t͡ɕolli
Jolo	졸로	t͡ɕollo
Jolon	홀론	hollon
Jones	존스	t͡ɕons͈ɯ
Jonesboro	존즈버러	t͡ɕond͡ɕɯbʌlʌ
Jonesborough	존스버러	t͡ɕons͈ɯbʌlʌ
Jonesport	존스포트	t͡ɕons͈ɯpʰotʰɯ
Jonestown	존스타운	t͡ɕons͈ɯtʰaun
Jonesville	존스빌	t͡ɕons͈ɯbil
Joplin	졸린	t͡ɕollin
Jordan	요르단	jolɯdan
Jorden	조든	t͡ɕodɯn
Joseph	조셉	t͡ɕosep
Josephine	조세핀	t͡ɕosepʰin
josh	조쉬	t͡ɕoswi
Joshua	조슈아	t͡ɕosjua
journalism	저널리즘	t͡ɕʌnʌllid͡ɕɯm
journalist	저널리스트	t͡ɕʌnʌllisɯtʰɯ
journey	저니	t͡ɕʌni
Joy	조이	t͡ɕoi
Joyce	조이스	t͡ɕoisɯ
Juanita	주아니타	t͡ɕuanitʰa
JUBA	주바	t͡ɕuba
Jud	저드	t͡ɕʌdɯ
Juda	주다	t͡ɕuda
Judah	주다	t͡ɕuda
judge	저지	t͡ɕʌd͡ɕi
Judio	주디오	t͡ɕudio
Judson	저드슨	t͡ɕʌdɯsɯn
juice	주스	t͡ɕusɯ
juicer	주서	t͡ɕusʌ
Juliaetta	줄리에타	t͡ɕullietʰa
Julian	줄리언	t͡ɕulliʌn
Juliette	줄리엣	t͡ɕulliet
jumbo	점보	t͡ɕʌmbo
jump	점프	t͡ɕʌmpʰɯ
Jumpertown	점퍼타운	t͡ɕʌmpʰʌtʰaun
Jumptown	점프타운	t͡ɕʌmpʰɯtʰaun
junction	정크선	t͡ɕʌŋkʰɯsʌn
Junction	정션	t͡ɕʌŋs͈jʌn
Juneau	주노	t͡ɕuno
jungle	정글	t͡ɕʌŋgɯl
junglist	정글리스트	t͡ɕʌŋgɯllisɯtʰɯ
junior	주니어	t͡ɕuniʌ
Junior	주니어	t͡ɕuniʌ
Juniper	주피터	t͡ɕupʰitʰʌ
Junius	주니어스	t͡ɕuniʌsɯ
jupiter	주피터	t͡ɕupʰitʰʌ
Jupiter	주피터	t͡ɕupʰitʰʌ
jupon	즈봉	t͡ɕɯboŋ
just	저스트	t͡ɕʌsɯtʰɯ
Justice	저스티스	t͡ɕʌsɯtʰisɯ
Justin	저스틴	t͡ɕʌsɯtʰin
Justus	저스터스	t͡ɕʌsɯtʰʌsɯ
k	케이	kʰei
Kabletown	케이블타운	kʰeibɯltʰaun
KABUL	카불	kʰabul
Kachemak	카체마크	kʰat͡ɕʰemakʰɯ
Kagoshima	가고시마	kagosima
KAHRAMANMARAS	카흐라만마라스	kʰahɯlamanmalasɯ
Kahului	카훌루이	kʰahullui
Kaikohe	카이코헤	kʰaikʰohe
Kaikoura	카이코우라	kʰaikʰoula
Kaiser	카이저	kʰaid͡ɕʌ
Kaitaia	카이타이아	kʰaitʰaia
kakao	카카오	kʰakʰao
kakaoplace	카카오플레이스	kʰakʰaopʰɯlleisɯ
KakaoTalk	카카오톡	kʰakʰaotʰok
Kake	카케	kʰakʰe
Kaktovik	카크토빅	kʰakʰɯtʰobik
Kalaloch	클래록	kʰɯllɛlok
Kalalock	칼라록	kʰallalok
Kalama	캘러마	kʰɛllʌma
Kalamazoo	캘러머주	kʰɛllʌmʌd͡ɕu
Kaler	칼러	kʰallʌ
Kalgary	캘거리	kʰɛlgʌli
Kaliningrad	칼리닌그라드	kʰalliningɯladɯ
Kalispell	칼리스펠	kʰallisɯpʰel
Kalona	칼로나	kʰallona
Kalorie	칼로리	kʰalloli
Kaltag	캘태그	kʰɛltʰɛgɯ
Kamas	캐머스	kʰɛmʌsɯ
kamfer	캄프르	kʰampʰɯlɯ
Kamiah	캠이아이	kʰɛmiai
Kamloops	캠룹스	kʰɛmnups͈ɯ
Kamrar	캠라	kʰɛmna
kanaan	가나안	kanaan
Kanab	캐나브	kʰɛnabɯ
Kanawha	캐너와	kʰɛnʌwa
Kangaroo	캉가루	kʰaŋgalu
Kankakee	캥커키	kʰɛŋkʰʌkʰi
Kannapolis	캐너폴리스	kʰɛnʌpʰollisɯ
Kano	카노	kʰano
Kansas	캔자스	kʰɛnd͡ɕasɯ
Kaplan	카플랜	kʰapʰɯllɛn
Kapolei	카폴레이	kʰapʰollei
Kapsel	캅셀	kʰaps͈el
Karachi	카라치	kʰalat͡ɕʰi
Karaganda	카라간다	kʰalaganda
Karamea	카라메아	kʰalamea
Karitane	카리타네	kʰalitʰane
Karli	칼리	kʰalli
Karlsruhe	카를스루에	kʰalɯls͈ɯlue
Kars	카르스	kʰalɯsɯ
KARSHI	카르시	kʰalɯsi
kart	카트	kʰatʰɯ
Kartrider	카트라이더	kʰatʰɯlaidʌ
Karval	카발	kʰabal
Kasaan	카산	kʰasan
Kasane	카사네	kʰasane
Kasbeer	캐스비어	kʰɛsɯbiʌ
Kasson	캐슨	kʰɛsɯn
Kastamonu	카스타모누	kʰasɯtʰamonu
kate	케이트	kʰeitʰɯ
Kathleen	캐슬린	kʰɛsɯllin
Kathmandu	카트만두	kʰatʰɯmandu
Kathryn	캐스린	kʰɛsɯlin
Katie	케이티	kʰeitʰi
Katikati	카티카티	kʰatʰikʰatʰi
Katowice	카토비체	kʰatʰobit͡ɕʰe
Katy	케이티	kʰeitʰi
Kaufman	코프먼	kʰopʰɯmʌn
Kaukauna	코코나	kʰokʰona
Kavanaugh	캐배노	kʰɛbɛno
Kawakawa	카와카와	kʰawakʰawa
Kawerau	카웨라우	kʰawelau
Kayseri	카이세리	kʰaiseli
Kaysville	케이스빌	kʰeisɯbil
KaZaA	카자	kʰad͡ɕa
Kazakstan	카자흐스탄	kʰad͡ɕahɯsɯtʰan
Kazan	카잔	kʰad͡ɕan
Keachie	키시	kʰisi
Kearney	키어니	kʰiʌni
Kearny	커니	kʰʌni
Keasbey	키즈비	kʰid͡ɕɯbi
Keating	키팅	kʰitʰiŋ
Keaton	키튼	kʰitʰɯn
Kechi	케치	kʰet͡ɕʰi
Kedron	케드론	kʰedɯlon
Keedysville	키디스빌	kʰidisɯbil
Keenan	키넌	kʰinʌn
Keene	킨	kʰin
Keeneland	킨랜드	kʰillɛndɯ
Keenesburg	키니스버그	kʰinisɯbʌgɯ
keep	킵	kʰip
Keewatin	키웨이틴	kʰiweitʰin
Keiser	카이저	kʰaid͡ɕʌ
Keithsburg	키스버그	kʰisɯbʌgɯ
Keller	켈러	kʰellʌ
Kelley	켈리	kʰelli
Kellogg	켈로그	kʰellogɯ
Kelly	켈리	kʰelli
Kellyville	켈리빌	kʰellibil
Kelowna	켈로나	kʰellona
Kelsey	켈시	kʰels͈i
Kelso	켈소	kʰels͈o
Kemah	키마	kʰima
Kemp	켐프	kʰempʰɯ
Kemper	켐퍼	kʰempʰʌ
Kempner	켐프너	kʰempʰɯnʌ
Kempton	켐프턴	kʰempʰɯtʰʌn
Kenai	케나이	kʰenai
Kenansville	케넌스빌	kʰenʌns͈ɯbil
Kenbridge	켄브리지	kʰenbɯlid͡ɕi
Kendall	켄달	kʰendal
Kendrick	켄드릭	kʰendɯlik
Kenduskeag	켄덕스키그	kʰendʌks͈ɯkʰigɯ
