a	e i
Lonerock	l o l l o k
long	l o ŋ
Longdale	l o ŋ d e i l
Longford	l o ŋ p ʌ d
longing	l o ŋ i ŋ
Longmeadow	l o ŋ m e d o u
Longmont	l o ŋ m o n t
Longrun	l o ŋ n ʌ n
Longton	l o ŋ t ʌ n
Longtown	l o ŋ t a u n
Longueuil	l o ŋ g w e i
Longvale	l o ŋ b e i l
Longview	l o ŋ b j u
Longville	l o ŋ b i l
Longwood	l o ŋ u d
Lonoke	l o n o k
Lonsdale	l o n s d e i l
Loogootee	l ʌ g o tʃ i
look	l u k
Lookingglass	l u k i ŋ g l l a s
Lookout	l u g a u t
Loom	l u m
Loomis	l u m i s
Lorado	l o l a d o
Lorain	l o l e i n
Loran	l o l a n
Loranger	l o l e i n dʒ ʌ
Lordsburg	l o dʒ b ʌ g
Loree	l o l i
Lorella	l o l e l l a
Lorena	l o l e n a
Lorentz	l o l ʌ n tʃ
Lorenzo	l o l e n dʒ o
Loretta	l o l e t a
Loretto	l o l e t o
Lorida	l o l i d a
Loris	l o l i s
Lorman	l o m ʌ n
Lorraine	l o l e i n
lost	l o s t
Lostine	l o s tʃ i n
Lothair	l o t e ʌ
Lothian	l o dʒ i ʌ n
lotion	l o s j ʌ n
Lotsee	l o t s i
Lott	l o t
Lottie	l o tʃ i
Lottsburg	l o tʃ b ʌ g
Louangphrabang	l u a ŋ p l a b a ŋ
Louann	l o a n
Loudon	l u d ʌ n
Louin	l u i n
Louisa	l u i s a
Louisburg	l u i s b ʌ g
Louisiana	l u i dʒ i ɛ n a
Louisville	l u i b i l
love	l ʌ b
Lovejoy	l ʌ b dʒ o i
Lovelady	l ʌ b l e i dʒ i
Loveland	l ʌ b l ɛ n d
Lovell	l ʌ b ʌ l
Lovelock	l ʌ b l a k
Lovely	l ʌ b l l i
Lovett	l ʌ b e t
Loveville	l ʌ b b i l
Loving	l ʌ b i ŋ
Lovingston	l ʌ b i ŋ s t ʌ n
Lovington	l ʌ b i ŋ t ʌ n
low	l o
Lowden	l o d ʌ n
Lowder	l o d ʌ
Lowell	l o w e l
Lowes	l o w i s
Lowland	l o l ɛ n d
Lowman	l o u m ɛ n
Lowndes	l o n dʒ i dʒ
Lowpoint	l o p o i n t
Lowry	l o l i
Lowrys	l o l i s
Lowville	l o u b i l
Loxley	l o k s l l i
Loyal	l o j ʌ l
Loyalton	l o j a l t ʌ n
LPG	e l p i dʒ i
Luana	l u ɛ n a
Luanda	l u a n d a
Lubbock	l u b o k
Lubec	l u b e k
Lubumbashi	l u b u m b a s i
Lucan	l u k a n
Lucas	l u k a s
Lucerne	l u s ʌ n
Lucia	l u s i a
Luck	l ʌ k
Luckenbach	l u k e n b a h
Lucknow	l ʌ k n a u
Ludington	l ʌ dʒ i ŋ t ʌ n
Ludlow	l ʌ d l l o
Luebbering	l u b ʌ l i ŋ
Lueders	l u d ʌ s
Lufkin	l ʌ p k i n
Lugano	l u g a n o
Luke	l u k
Lukeville	l u k b i l
Lula	l u l l a
Lulu	l u l l u
Lumberland	l ʌ m b ʌ l ɛ n d
Lumberton	l ʌ m b ʌ t ʌ n
Lumpkin	l ʌ m k i n
Lund	l ʌ n d
Lunda	l ʌ n d a
Lunenburg	l u n e n b ʌ g
Luraville	l u l a b i l
Luray	l u l e i
Lusaka	l u s a k a
Lusk	l ʌ s k
Lutcher	l ʌ tʃ ʌ
lute	l j u t
lutetium	l u t e tʃ j u m
Luther	l u t ʌ
Lutterloh	l u t ʌ l o
Luttrell	l ʌ t l e l
Lutts	l ʌ tʃ
Luverne	l u b ʌ n
Luxembourg	l u k s e m b u l k
Luxemburg	l u k s e m b u l k
Luxor	l u k s o l
Luzerne	l u tʃ e l n
Lyburn	l a i b ʌ n
Lycan	l a i k ɛ n
lycos	l a i k o s
Lyells	l a i e l
Lyle	l a i l
Lyman	l i m ʌ n
Lyme	l a i m
lymph	l i m p
Lynch	l i n tʃ i
Lynchburg	l i n tʃ i b ʌ g
Lynco	l i n k o
Lynd	l i n d
Lynden	l i n d n
Lyndhurst	l i n d h ʌ s t
Lynn	l i n
Lynne	l i n
Lynnfield	l i n p i l d
Lynnwood	l i n u d
Lynwood	l i n u d
Lynx	l i ŋ s
Lyon	l a i ʌ n
Lyona	l a i o n a
Lyons	l a i ʌ n s
Lyonsdale	l i o n s d e i l
Lysander	l a i s ɛ n d ʌ
Lyttelton	l i t l t ʌ n
Lytten	l a i t n
Lytton	l i t ʌ n
m	e m
MA	e m e i
Mabel	m e i b l
Mabelle	m a b e l
Maben	m e i b n
macaroni	m a k a l o n i
MacArthur	m ɛ g a s ʌ
Macau	m a k a o
Macclenny	m ɛ k k l l e n i
Macclesfield	m e i k l dʒ p i l d
MacDunn	m ɛ k t ʌ n
Macedon	m e i s d ʌ n
Macedonia	m a s e d o n i a
Macfarlan	m e k p a l l ɛ n
Machias	m a k i ʌ dʒ
machine	m ʌ s i n
Macintosh	m ɛ k i n t o s i
Mack	m ɛ k
Mackay	m ɛ k a i
Mackenzie	m ɛ k e n dʒ i
Mackey	m ɛ k k i
Macksville	m ɛ k s b i l
Macomb	m ɛ k o m
Macon	m e i k ʌ n
macro	m ɛ k l o
Macy	m e i s i
mad	m ɛ d
Madagascar	m a d a g a s k a l
madam	m a d a m
Madawaska	m a d a w a s k a
Maddock	m ɛ d o k
Maddox	m ɛ d o k s
Madeira	m a d e i l a
Madelia	m a d e l l i a
Madeline	m e i d l l i n
Madera	m a d e l a
Madge	m ɛ dʒ i
Madison	m ɛ dʒ i s n
Madisonville	m ɛ dʒ i s n b i l
madonna	m a d o n n a
Madras	m a d l a s
Madrid	m a d l i d
Madurai	m a d u l a i
Mafia	m a p i a
Magan	m e i g ʌ n
magarine	m a g a l i n
magazine	m ɛ g ʌ dʒ i n
Magazine	m ɛ g ʌ dʒ i n
Magee	m a dʒ i
magic	m ɛ dʒ i k
magicgate	m ɛ dʒ i k k e i t
Magley	m ɛ g l l i
magma	m a g m a
magnesite	m a g n e s a i t
magnesium	m a g n e s j u m
Magness	m ɛ g n e s
magnet	m a g n e t
Magnet	m a g n e t
magnetic	m a g n e tʃ i k
Magnitogorsk	m a g n i t o g o l s k
Magnolia	m ɛ g n o l l i a
Mahan	m ʌ h ɛ n
Maher	m a h ʌ
Mahomet	m a h o m e t
Maida	m e i d a
Maiden	m e i d n
mail	m e i l
main	m e i n
mainboard	m e i n b o d
Maine	m e i n
Maitland	m e i t l l ɛ n d
Maize	m e i dʒ
make	m e i k
maker	m e i k ʌ
Makinen	m ɛ k i n ʌ n
Makoti	m a k o tʃ i
Malabar	m a l l a b a
Malabo	m a l l a b o
Malabon	m a l l a b o n
Malaga	m a l l a g a
Malakoff	m a l l a k o p
MALANG	m a l l a ŋ
malaria	m a l l a l i a
MALATYA	m a l l a tʃ i a
Malawi	m a l l a w i
Malaysia	m a l l e i s i a
Malbis	m e l b i s
Malcolm	m a l k o m
Malcom	m ɛ l k ʌ m
Malden	m o l d n
Mali	m a l l i
Malibu	m a l l i b u
Malin	m a l l i n
mall	m o l
Mallard	m ɛ l l ʌ d
Malmo	m ɛ l m o
Malo	m a l l o
Malone	m a l l o n
Maloy	m ɛ l l o i
Malta	m o l t a
Malvern	m ɛ l b ʌ n
Mamakating	m ɛ m ʌ k e i tʃ i ŋ
Mamaroneck	m ɛ m ʌ l o n e k
mambo	m a m b o
Mamers	m ɛ m ʌ s
Mamie	m a m i
mammoth	m ɛ m ʌ d
Mammoth	m ɛ m ʌ d
man	m ɛ n
Man	m ɛ n
manager	m ɛ n i dʒ ʌ
Managua	m a n a g w a
Manaia	m a n a i a
Manalapan	m ʌ n ɛ l l ʌ p ʌ n
Manara	m a n a l a
Manassa	m a n ɛ s a
Manassas	m ɛ n ʌ s ʌ s
Manaus	m a n a u s
Manavista	m ɛ n a b i s t a
Manawa	m a n a w a
Manchac	m ɛ n tʃ ɛ k
Manchester	m ɛ n tʃ e s t ʌ
Mancos	m a n k o s
Mandale	m ɛ n d e i l
Mandan	m ɛ n d ʌ n
mandarin	m a n d a l i n
Manderson	m ɛ n d ʌ s n
Mandeville	m ɛ n d ʌ b i l
Mandurah	m ɛ n d u l a
Manes	m e i n dʒ
manganese	m a ŋ g a n i dʒ
Mangilao	m a ŋ g i l l a o
mangoplate	m a ŋ g o p l l e i t
Manhattan	m ɛ n h ɛ t n
Manheim	m ɛ n h a i m
manhole	m ɛ n h o l
mania	m a n i a
manicure	m ɛ n i k j u ʌ
Manila	m a n i l l a
Manilla	m a n i l l a
Manistee	m ɛ n i s tʃ i
Manitoba	m ɛ n i t o b a
Manitou	m ɛ n i t o
Manitowoc	m ɛ n i t o w ʌ k
Mankato	m ɛ n k a t o
Manley	m ɛ l l i
Manlius	m ɛ l l i ʌ s
Manly	m ɛ l l i
mannequin	m a n e k i ŋ
manner	m ɛ n ʌ
Manning	m ɛ n i ŋ
Mannings	m ɛ n i ŋ s
Mannington	m ɛ n i ŋ t ʌ n
Mannon	m ɛ n ʌ n
Mannville	m ɛ n b i l
Mano	m a n o
Manokin	m ɛ n ʌ k i n
Manor	m ɛ n ʌ
Mansfield	m ɛ n s p i l d
mansion	m ɛ n s j ʌ n
Manson	m ɛ n s n
manteau	m a ŋ t o
Manteca	m a n t e k a
Manteo	m ɛ n t e o
Manter	m ɛ n t ʌ
Manti	m ɛ n tʃ i
Manton	m ɛ n t ʌ n
Mantorville	m ɛ n t o b i l
Mantua	m a n t u a
manual	m ɛ n j u ʌ l
Manukau	m a n u k a u
Manvel	m ɛ n b l
Manville	m ɛ n b i l
Many	m ɛ n i
Manzanita	m a n dʒ a n i t a
map	m ɛ p
Maple	m e i p l
Maplehurst	m e i p l h ʌ s t
Maples	m e i p l s
Mapleton	m e i p l t ʌ n
Mapleview	m e i p l b j u
Mapleville	m e i p l b i l
Maplewood	m e i p l u d
Mapua	m a p u a
Maputo	m a p u t o
Maramec	m ɛ l ʌ m ɛ k
Marana	m a l a n a
marathon	m a l a t o n
Marathon	m a l a t o n
marble	m a b l
Marble	m a b l
Marblehead	m a b l h e d
Marbletown	m a b l t a u n
Marbury	m a b ʌ l i
Marceline	m a l s e l l i n
Marcell	m a l s e l
Marcella	m a l s e l l a
Marcelline	m a l s e l l i n
Marcellon	m a s e l l o n
Marcellus	m a s e l l ʌ s
march	m a tʃ i
Marchand	m a tʃ ʌ n d
Marcoe	m a k o
Marcus	m a k ʌ s
Marcy	m a s i
Mardin	m a l dʒ i n
Mareeba	m a l i b a
Marengo	m a l e ŋ g o
Marfa	m a p a
Margaret	m a g ʌ l i t
margarine	m a g a l i n
Margate	m a g e i t
Margie	m a dʒ i
margin	m a dʒ i n
Margo	m a g o
Marianna	m e l i ɛ n a
Mariba	m a l i b a
Maribel	m a l i b e l
Maricopa	m a l i k o p a
Marienthal	m a l i e n s a l
Marietta	m ɛ l i e t a
marihuana	m a l i h w a n a
Marilla	m a l i l l a
Marina	m a l i n a
Marineland	m a l i l l ɛ n d
Marinette	m a l i n e t
Marion	m ɛ l i ʌ n
Marionville	m a l i o n b i l
Mariposa	m a l i p o s a
mark	m a k
marker	m a k e t
Markesan	m a k s a n
market	m a k e t
marketing	m a k e tʃ i ŋ
Markham	m a k ʌ m
Markle	m a k l
Markleeville	m a k l i b i l
Marks	m a k s
Markwood	m a k u d
Marland	m a l ɛ n d
Marlboro	m a l b ʌ l ʌ
Marlborough	m a l b ʌ l ʌ
Marler	m a l l ʌ
Marlette	m a l l e t
Marlin	m a l l i n
Marlinton	m a l l i n t ʌ n
Marlow	m a l l o u
Marlowe	m a l l o
Marmaduke	m a m a dʒ j u k
Marmarth	m ɛ m ʌ s
Marmet	m a m e t
Marne	m a l n
Marquette	m a k e t
Marquez	m a l k e s
Marrowbone	m ɛ l o u b o n
Mars	m a s
Marseilles	m a l s e i
Marshall	m a s j ʌ l
Marshalltown	m a s j ʌ l t a u n
Marshfield	m a s i p i l d
Marsing	m a s i ŋ
Marston	m a s t ʌ n
mart	m a t
Mart	m a t
Martel	m a t e l
Martell	m a t e l
Martha	m a s a
Martin	m a tʃ i n
Martinborough	m a tʃ i n b ʌ l ʌ
Martindale	m a tʃ i n d e i l
Martinez	m a l tʃ i n e dʒ
Martinsburg	m a tʃ i n s b ʌ g
Martinsville	m a tʃ i n dʒ b i l
Marton	m a t ʌ n
Marvel	m a b l
Marvell	m a b ʌ l
Marvin	m a b i n
Marvyn	m a b i n
Maryborough	m e l i b ʌ l ʌ
Marye	m e l i
Maryland	m e l i l l ɛ n d
Marylhurst	m e l i l h ʌ s t
Marysville	m e l i s b i l
Marytown	m e l i t a u n
Maryville	m e l i b i l
mascara	m a s k a l a
mascot	m a s k o t
Mascotte	m ɛ s k o t
Mascoutah	m a s k u t a
Maseru	m a s e l u
Mashad	m a s j a d
Mashpee	m ɛ s i p i
Mashup	m ɛ s i ʌ p
mask	m a s k
Mason	m e i s n
Masonville	m e i s n b i l
Massachusetts	m ɛ s a tʃ u s e tʃ
massaga	m a s a dʒ i
massage	m a s a dʒ i
Massage	m a s a dʒ i
Massaponax	m ɛ s a p o n ɛ k s
Massena	m a s e n a
Massey	m ɛ s i
Massillon	m ɛ s i l l i ʌ n
mast	m a s t
master	m a s t ʌ
Masterson	m ɛ s t ʌ s n
Masterton	m ɛ s t ʌ t ʌ n
masturbation	m a s t ʌ b e i s j ʌ n
mat	m ɛ t
Matamata	m a t a m a t a
Matamoras	m a t a m o l a s
Matanzas	m a t a n s a s
match	m ɛ tʃ i
matchmail	m ɛ tʃ i m e i l
Mather	m ɛ d ʌ
Matheson	m ɛ d ʌ s n
Mathews	m ɛ s j u s
Mathias	m a tʃ i a s
Mathis	m a tʃ i s
Matoaka	m a t o a k a
matroos	m a d o l o s
Matson	m ɛ t s n
Matsuyama	m a s j a m a
Matt	m ɛ t
Mattapoisett	m ɛ t a p o i s e t
Mattawa	m a t a w a
Mattawamkeag	m a t a w a m k i g
Matteson	m ɛ t s n
Matthews	m ɛ tʃ j u s
Mattoon	m a t u n
Mattos	m ɛ t o s
Mattox	m ɛ t o k s
mattress	m ɛ t l i s
Mattson	m ɛ t s n
Maud	m o d
Mauk	m o k
Mauldin	m o l dʒ i n
Maumee	m o m i
Maumelle	m a u m e l
Maurepas	m ʌ l e p a s
Maurice	m o l i s
Mauritania	m o l i t a n i
Mauritius	m o l i s j ʌ s
Max	m ɛ k s
Maxeys	m ɛ k s i s
Maxfield	m ɛ k s p i l d
Maxie	m ɛ k s i
Maximo	m ɛ k s i m o
Maxmovie	m ɛ k s m u b i
Maxton	m ɛ k s t ʌ n
Maxville	m a k s b i l
Maxwell	m ɛ k s w e l
May	m e i p l
Maya	m a j a
Maybell	m e i b e l
Mayberry	m e i b e l i
Mayday	m e i d e i
Mayer	m e i j ʌ
Mayfield	m e i p i l d
Mayflower	m e i p l l a w ʌ
Mayger	m e i g ʌ
Mayland	m e i l l ɛ n d
Maynard	m e i n a d
Mayo	m a j o
mayonnaise	m a j o n e dʒ
Maypearl	m e i p ʌ l
Mays	m e i s
Maysel	m e i s e l
Maysville	m e i dʒ b i l
Mayview	m e i b j u
Mayville	m e i b i l
Maywood	m e i u d
Maza	m a dʒ a
Mazeppa	m a dʒ e p a
Mbone	e m b o n
MC	e m s i
McAdams	m ɛ g ɛ d ʌ m s
McAlester	m ɛ g a l l e s t ʌ
McAlister	m ɛ g ɛ l l i s t ʌ
McAllen	m ɛ k k ʌ l l i n
McAlpin	m ɛ g a l p i n
McArthur	m ɛ g a s ʌ
McBain	m ɛ k p e i n
McCall	m ɛ k k o l
McCalla	m ɛ k k a l l a
McCallsburg	m ɛ k ʌ l s b ʌ g
McCamey	m ɛ k k ɛ m i
McCarley	m ɛ k k a l l i
McCarr	m ɛ k k a
McCaskill	m ɛ k k a s k i l
McCauley	m ɛ k ʌ l l i
McCaysville	m ɛ k k e i dʒ b i l
McClelland	m ɛ k k l e l l ɛ n d
McClimansville	m ɛ k k l l i m ʌ n s b i l
McClusky	m ɛ k k l l ʌ s k i
McColl	m ɛ k o l
McComb	m ɛ k k o m
McConnell	m ɛ k o n ʌ l
McConnelsville	m ɛ k k o n e l s b i l
McCook	m ɛ k k u k
McCool	m ɛ k k u l
McCordsville	m ɛ k k o dʒ b i l
McCormick	m ɛ k o m i k
McCoy	m ɛ k k o i
McCracken	m ɛ k l e k e n
McCrea	m ɛ k k l i
McCune	m ɛ k j u n
McDaniel	m ɛ k t a n i e l
McDavid	m ɛ k t e i b i d
McDonald	m ɛ k t o n ʌ l d
McDonough	m ɛ k t o n ʌ
McDougal	m ɛ k t u g ʌ l
McDowell	m ɛ k t o w e l
McEwen	m ɛ k k w i n
McFarlan	m ɛ k p a l l ʌ n
McFarland	m ɛ k p a l l ɛ n d
McGee	m ɛ k k i
McGrath	m ɛ k k l ɛ s
McGrawsville	m ɛ k k l o s b i l
McGregor	m ɛ k k l e g ʌ
McHenry	m ɛ k e l l i
McIntire	m ɛ k i n t a i ʌ
McIntosh	m ɛ k i n t o s i
McIntyre	m ɛ k i n t a i ʌ
McKee	m ɛ k k i
McKeesport	m ɛ k i dʒ p o t
McKenna	m ɛ k e n a
McKenney	m ɛ k k e n i
McKenzie	m ɛ k k e n dʒ i
McKinley	m ɛ k i l l i
McKinney	m ɛ k k i n i
McLain	m ɛ ŋ n e i n
McLaughlin	m ɛ ŋ n o p l l i n
McLaurin	m ɛ ŋ n o l i n
McLean	m ɛ k l l e i n
McLeansboro	m ɛ k l l e i n dʒ b ʌ l ʌ
McLeod	m ɛ ŋ n ʌ d
McLouth	m ɛ ŋ n u s
McMillan	m ɛ ŋ m i l l ʌ n
McMinnville	m ɛ ŋ m i n b i l
McNab	m ɛ ŋ n ɛ p
McNaughton	m ɛ k a n ʌ t ʌ n
McNeal	m ɛ ŋ n i l
McNeil	m ɛ ŋ n e i l
McNeill	m ɛ ŋ n i l
McNulty	m ɛ ŋ n ʌ l tʃ i
McPherson	m ɛ k p ʌ s n
McQuire	m ɛ k k w a i ʌ
McRae	m ɛ ŋ n e
McShan	m ɛ k s j e i n
McVey	m ɛ k p e i
me	m i
Meacham	m i tʃ ɛ m
Mead	m i d
Meade	m i d
Meador	m i d o l
Meadow	m i d o u
Meadowbrook	m e d o b l u k
Meadowlands	m i d o u l ɛ n dʒ
Meadows	m i d o u dʒ
Meads	m i dʒ
Meadview	m i d b j u
meal	m i l
Meally	m i l l i
Means	m i n s
Meaux	m o g ʌ n s i tʃ i
Mebane	m i b e i n
Mecan	m e k a n
mecca	m e k a
Mecca	m e k a
Mechanicsburg	m e k a n i k s b ʌ g
Mechanicsville	m e k a n i k s b i l
medal	m e d a l
medalist	m e d a l l i s t
Medan	m e d a n
Medellin	m e d e l l i n
Medfield	m e d p i l d
Medford	m e d p ʌ d
media	m i dʒ i ʌ
Media	m i dʒ i ʌ
Mediapolis	m i dʒ i ʌ p o l l i s
medicine	m e dʒ i s i n
Medina	m e dʒ i n a
medium	m i dʒ i ʌ m
medley	m e d l l i
Medley	m e d l l i
Medora	m e d o l a
Medway	m e d w e i
Meekatharra	m e k a t a l a
Meeker	m i k ʌ
Meeme	m i m
Meenon	m i n ʌ n
meerkat	m i ʌ k ɛ t
meeting	m i tʃ i ŋ
megaton	m e g a t o n
Meigs	m e i g s
Mekoryuk	m e k o l j u k
melanin	m e l l a n i n
Melba	m e l b a
Melber	m e l b ʌ
Melbern	m e l b ʌ n
Melbourne	m e l b ʌ l n
Melfa	m e l p a
Melina	m e l l i n a
Melissa	m e l l i s a
Mellen	m e l l ʌ n
Mello	m e l l o
Mellott	m e l l o t
mellow	m e l l o u
melody	m e l l o dʒ i
melon	m e l o n
Melrose	m e l l o dʒ
Melvern	m e l b ʌ l n
Melville	m e l b i l
Melvin	m e l b i n
Memambetsu	m e m a n b e tʃ
member	m e m b ʌ
membership	m e m b o s w i p
memo	m e m o
memory	m e m o l i
Memphis	m e m p i s
Mena	m e n a
Menard	m ʌ n a d
Menasha	m e n a s j a
Mendenhall	m ɛ n d ʌ n h o l
Mendon	m e n d ʌ n
Mendota	m e n t o t a
Menifee	m e n i p i
Menlo	m e l l o
Meno	m e n o
Menominee	m e n o m i n i
Menomonie	m e n o m o n i
Mentor	m e n t o
menu	m e n j u
Meppen	m e p e n
Mequon	m e k w ʌ n
Merced	m ʌ s i d
Mercedes	m e l s e d e s
Mercer	m ʌ s ʌ
Mercury	m ʌ k j u l i
Mercuryville	m ʌ k j u l i b i l
Meredith	m e l ʌ dʒ i s
Merida	m e l i d a
Meridean	m e l i dʒ i n
Meriden	m e l i d ʌ n
Meridian	m ʌ l i dʒ i ʌ n
Merigold	m ʌ l i g o l d
Merino	m e l i n o
Merion	m e l i ʌ n
merit	m e l i t
Merit	m e l i t
Merkel	m e l k e l
Merle	m ʌ l l
Mermet	m ʌ l m ʌ t
Merna	m ʌ n a
Merom	m e l o m
Merriam	m e l i ʌ m
Merricourt	m e l i k o t
Merrill	m e l i l
Merrillville	m e l i l b i l
Merrimac	m e l i m ɛ k
Merrimack	m e l i m ɛ k
Merritt	m e l i t
Merton	m ʌ t ʌ n
mesa	m e s a
Mesa	m e s a
meshiha	m e s i a
Mesilla	m e s i l l a
Mesquite	m e s k i t
message	m e s i dʒ i
messenger	m e s i n dʒ ʌ
Messick	m e s i k
Meta	m e t a
metadata	m e t a d e i t ʌ
Metairie	m e t a l i
metal	m e t a l
Metaline	m e t a l l i n
Metcalfe	m e t k ʌ l p
Metea	m e tʃ i
Meteor	m e t e o
Methan	m e t a n
method	m e s o d
Methuen	m e s u e n
Methven	m e s b ʌ n
Metolius	m e t o l i u s
Metomen	m e t o m e n
metre	m i t ʌ
metro	m e t l o
Metropolis	m e t l o p o l l i s
Metter	m e t ʌ
Metz	m e tʃ
Mexico	m e k s i k o
Meyer	m e i ʌ
Meyers	m e i ʌ s
Miami	m a i ɛ m i
Miamisburg	m a i ɛ m i s b ʌ g
Miamitown	m a i ɛ m i t a u n
Mica	m i k a
Micanopy	m i k a n o p i
Miccosukee	m i k o s u k i
Michael	m a i k l
Michie	m i tʃ i
Michigan	m i s i g a n
Michigantown	m i s i g a n t a u n
Mico	m i k o
micro	m a i k l o
Micro	m a i k l o
microblog	m a i k l o b l l o g
microchip	m a i k l o tʃ i p
microcomputer	m a i k l o k ʌ m p j u t ʌ
microdrive	m a i k l o d l a i b
microgram	m a i k l o g l ɛ m
microhm	m i k l o m
Micronesia	m a i k l o n e s i a
microprocessor	m a i k l o p l o s e s ʌ
microprogram	m a i k l o p l o g l ɛ m
microsoft	m a i k l o s o p t
microwave	m a i k l o w e i b
middle	m i d l
Middleboro	m i d l b ʌ l o
Middleborough	m i d l b ʌ l ʌ
Middlebourne	m i d l b o n
Middleburg	m i d l b ʌ g
Middleburgh	m i d l b ʌ
Middlebury	m i d l b e l i
Middlebush	m i d l b u s w i
Middlefield	m i d l p i l d
Middlegate	m i d l g e i t
Middlesborough	m i d l s b ʌ l ʌ
Middlesex	m i d l s e k s
Middleton	m i d l t ʌ n
Middletown	m i d l t a u n
middleware	m i d l w e ʌ
Middleway	m i d l w e i
Midland	m i d l ɛ n d o d e s a
Midlothian	m i d l l o dʒ i ʌ n
Midnight	m i d n a i t
Midpines	m i d p a i n dʒ
Midtown	m i d t a u n
Midvale	m i d b e i l
Midville	m i d b i l
Midway	m i d w e i
Midwest	m i d w e s t
Miesville	m i s b i l
Mifflin	m i p l l i n
MIG	m i g
might	m a i t
migration	m a i g l e i s j ʌ n
mike	m a i k
Milam	m i l l a m
Milan	m i l l a n
Milano	m i l l a n o
Milbank	m i l b ɛ ŋ k
Milbridge	m i l b l i dʒ i
Milburn	m i l b ʌ n
Mildred	m a i l d l e d
mile	m a i l
Miles	m a i l s
Milford	m i l p ʌ d
milk	m i l k
Millbrae	m i l b l e
Millbrook	m i l b l u k
Millbury	m i l b e l i
Millen	m i l l e n
Miller	m i l l ʌ
Millersburg	m i l l ʌ s b ʌ g
Millersville	m i l l ʌ s b i l
Millerton	m i l l ʌ t ʌ n
Millhome	m i l h o m
Millhousen	m i l h a u dʒ e n
Millican	m i l l i k ʌ n
Milligan	m i l l i g ʌ n
milligram	m i l l i g l ɛ m
Milliken	m i l l i k ʌ n
millimetre	m i l i m i t ʌ
Millington	m i l l i ŋ t ʌ n
Millinocket	m i l l i n o k e t
million	m i l l i o n
Millis	m i l l i s
Millport	m i l p o t
Millry	m i l l i
Mills	m i l s
Millsboro	m i l s b ʌ l o
Millston	m i l s t ʌ n
Millstone	m a i l s t o n
Milltown	m i l t a u n
Millville	m i l b i l
Millwood	m i l u d
Milner	m i l l ʌ
Milnor	m i l l ʌ
Milo	m i l l o
Milpitas	m i l p i t a s
Milroy	m i l l o i
Milton	m i l t ʌ n
Milwaukee	m i l w ʌ k i
Milwaukie	m i l w ʌ k i
Mina	m i n a
Minam	m i n a m
minaret	m i n a l e t
Minburn	m i n b ʌ n
mince	m i n s
Minco	m i n k o
mind	m a i n d
Minden	m i n d e n
Mindenmines	m a i n d n m a i n dʒ
Mindoro	m i n d o l o
Mineola	m i n e o l l a
Miner	m a i n ʌ
mineral	m i n e l a l
Mineral	m i n e l a l
Minerva	m i n ʌ b a
Minetto	m i n e t o
Mingo	m i ŋ g o
Mingus	m i ŋ g ʌ s
mini	m i n i
minicomputer	m i n i k ʌ m p j u t ʌ
Minisink	m i n i s i ŋ k
mink	m i ŋ k
Minneapolis	m i n i ɛ p o l l i s
Minneola	m i n e o l l a
Minneota	m i n e o t a
Minnesota	m i n e s o t a
Minnetonka	m i n e t o n k a
Minnetrista	m i n e t l i s t a
Minocqua	m i n o k w a
Minong	m i n o ŋ
Minot	m i n o t
Minquadale	m i ŋ k d e i l
Minsk	m i n s k
Minter	m i n t ʌ
Minto	m i n t o
Minturn	m i n t ʌ n
minus	m a i n ʌ s
Mio	m i o
mirage	m i l a dʒ i
Miramar	m i l a m a
Miranda	m i l a n d a
mirra	m i i l a
mirror	m i l ʌ
Misawa	m i s a j a
miserable	m i dʒ e l a b l
Mishawaka	m i s j ʌ w a k a
miss	m i s
Miss	m i s
missa	m i s a
missile	m i s a i l
mission	m i s j ʌ n
Mission	m i s j ʌ n
Mississauga	m i s i s o g ʌ
Mississippi	m i s i s i p i
Missoula	m i s o u l l a
Missouri	m i dʒ u l i
mister	m i s t ʌ
Mitchell	m i tʃ e l
mix	m i k s
mixer	m i k s ʌ
mixtape	m i k s t e i p
Miyako	m i j a k o
Miyazaki	m i j a dʒ a k i
Mize	m a i dʒ
Mizpah	m i dʒ p a
ML	e m e l
Moab	m o a p
Moana	m o a n a
Moberly	m o b ʌ l l i
mobile	m o b a i l
Mobile	m o b i l
Moccasin	m o k a s i n
Mocksville	m o k s b i l
Modale	m o d e i l
mode	m o d
model	m o d e l
MODEM	m o d e m
Modena	m o d e n a
modern	m o d ʌ n
Modesto	m ʌ d e s t o
Modoc	m o d o k
module	m o dʒ j u l
Moe	m w e
Moffat	m o p e t
Moffett	m o p e t
Moffit	m o p i t
MOGADISHU	m o g a dʒ i s j u
Mohawk	m o h o k
Mohegan	m o h i g ʌ n
Mohler	m o l l ʌ
Moira	m o i l a
moisture	m o i s tʃ ʌ
Moland	m o l l ɛ n d
Moldova	m o l d o b a
Moline	m ʌ l l i n
Molitor	m o l l i t ʌ
Molt	m o l t
Mombasa	m o m b a s a
Momence	m o m e n s
moment	m o m e n t
Mona	m o n a
monami	m o n a m i
Monaville	m o n a b i l
Monches	m o n tʃ e s
Monclova	m o n k l l o b a
Moncton	m ʌ ŋ k t ʌ n
Mondamin	m o n d a m i n
Moneta	m o n e t a
Monett	m o n e t
Monetta	m o n e t a
Monette	m o n e t
money	m ʌ n i
Money	m ʌ n i
Mongolia	m o ŋ g o l
Moniac	m o n i a k
Monico	m o n i k o
monitor	m o n i t ʌ
